Sentence,Sentiment
"Fourth, we are enhancing the value of our operating fleet by optimising the operations and maintenance of our assets to achieve higher availability, at the right time.",neutral
"And finally, we have commenced an initiative to strengthen our supply chain and risk management capabilities to leverage our leading position and improve our competitiveness in future auctions.",negative
"Altogether, we are confident that these company-wide and transformational business priorities will have a significant positive impact on our ability to deliver cost-savings, increase revenue, and help improve our overall competitiveness.",positive
"In 2024, we added 1.0 GW of installed capacity to our offshore portfolio by commissioning Greater Changhua 1 and 2a and South Fork and 1.4 GW to our onshore portfolio by commissioning four solar farms, including Mockingbird, our largest solar farm to date.",neutral
"By the end of 2024, our total installed capacity reached 18.2 GW.",neutral
"During 2024, we also advanced eight projects with a total capacity of 1.8 GW to FID, spanning across our portfolio of offshore and onshore wind as well as solar and storage.",neutral
"Following the award of an offshore wind renewable energy certificate (OREC) in New YorkÕs fourth offshore wind solicitation, we added Sunrise Wind to our construction portfolio in 2024.",neutral
"With this addition, we had 6.9 GW of offshore capacity under construction by the end of 2024.",neutral
"In early 2025, we took FID on the wind farm Baltica 2, further adding 1.5 GW to our construction portfolio.",neutral
"In our onshore business, we took FID on several projects in 2024, the most significant being our onshore wind farm Badger Wind and a storage project adjacent to our solar farm Old 300.",neutral
"By the end of 2024, we had 0.8 GW of onshore capacity under construction.",neutral
"In the UK, we reached a significant milestone in 2024, when the UK Department for Energy Security & Net Zero (DESNZ) awarded us 3.5 GW of capacity for our offshore wind farms Hornsea 3 and Hornsea 4.",neutral
"When operational, Hornsea 3 will be the worldÕs single largest offshore wind farm with a capacity of 3 GW.",neutral
"Most of our projects are progressing according to plan, and we work diligently to de-risk our portfolio.",negative
"However, we continue to face and manage supply chain and construction challenges at our two US offshore construction projects Revolution Wind and Sunrise Wind.",neutral
"Our partnership and divestment programme is on track, with several divestments initiated and concluded during the year.",neutral
Total proceeds from the transactions make up DKK 22 billion of the target of DKK 70-80 billion through 2026.,neutral
We have divested 12.45 % of four operational UK offshore wind farms with a combined total capacity of 3.5 GW to Brookfield and 50 % of our Taiwanese offshore wind farm Greater Changhua 4 (583 MW) to Cathay Life Insurance.,neutral
"In Onshore, we made a partial divestment of four US operational wind farms (957 MW) to Stonepeak and a partial divestment of the solar farm Mockingbird to Energy Capital Partners (ECP).",neutral
"Additionally in the partnership with ECP, we signed an agreement to partially divest our solar farm Sparta Solar and our battery storage project Eleven Mile Solar Center, with closings expected in 2025.",neutral
"Lastly, we divested our onshore platform in France to ENGIE.",neutral
"Innovation is another lever to improve our competitiveness, and we have continued to be at the forefront of the industry.",neutral
"In 2024, we developed a new low-noise foundation installation method, which strengthens existing protections to marine life.",neutral
"Beyond the noise reduction, this new technology is a step change in offshore wind monopile installation that, once adopted at scale, can overcome pile refusal challenges and provide for cheaper and faster installation than any other monopile installation technology.",neutral
"In addition, we launched the worldÕs first heavy-lift cargo drone operations at our offshore wind farm Borssele 1 & 2.",neutral
The drones will improve operational efficiency and safety in the offshore wind industry.,neutral
"The organisational efficiency programme included company-wide and coordinated redundancy rounds, which were concluded in November.",neutral
This has had an impact on our employee satisfaction score.,neutral
"Motivation and well-being of our colleagues are of the highest importance to us, and increasing employee satisfaction will be a key priority.",positive
EBITDA totalled DKK 32.0 billion in 2024 compared to DKK 18.7 billion in 2023.,neutral
"EBITDA excluding new partnerships and cancellation fees amounted to DKK 24.8 billion, an increase of DKK 0.7 billion compared to 2023 and in line with our guidance of DKK 24-26 billion.",positive
"Earnings in 2024 were positively impacted by Ocean Wind 1 cancellation fees, where we have continued to work through our supplier contracts and finalised negotiation of several contracts with a better outcome than assumed.",neutral
"Net of the provision for ceasing FlagshipONE, this has led to a positive EBITDA impact of DKK 7.3 billion.",positive
EBITDA from new partnerships in 2024 was limited and related to the 50 % farm-down of Greater Changhua 4 and Mockingbird.,neutral
"Earnings from sites in operation in Offshore increased with almost 20 % and amounted to DKK 23.8 billion in 2024, mainly due to ramp-up of generation at Greater Changhua 1 and 2a, South Fork, and Gode Wind 3, higher wind speeds, and a higher pricing of the inflation- indexed CfDs and green certificates.",negative
Lower availability dampened the increase in 2024.,positive
"In 2024, we recognised net impairments of DKK 15.6 billion, with the majority (DKK 14.1 billion) relating to our US projects and from our decision to cease construction of FlagshipONE (DKK 1.5 billion).",neutral
"The US impairments were due to an increase in the US longdated interest rate, a lower market-informed valuation of our US seabeds, construction delays, and higher expected costs for our US projects Revolution Wind and Sunrise Wind.",positive
ROCE was 4.5 % for the year.,neutral
"Adjusted for impairments and cancellation fees, ROCE amounted to 10.1 % in 2024.",neutral
Profit for the year amounted to DKK 0.0 billion.,positive
"Excluding impairments (after tax) and cancellation fees, profit for the year was DKK 6.4 billion.",positive
Our commitment to a sustainable build-out is at the core of our business.,neutral
"Our three strategic sustainability priorities Ð decarbonisation, biodiversity, and community impact Ð play an enabling role in our strategy and project delivery.",positive
They support that we mitigate risks and deliver more resilient energy projects that also drive a positive change for society and nature.,positive
"In 2024, we saw strong progress on all three priorities.",positive
"Among other things, we launched our ÔBiodiversity measurement frameworkÕ to guide transparent measurement and reporting on our biodiversity impact.",neutral
We also reached the last big milestone in transforming our energy production to renewable energy by shutting down our last coal-fired power station.,neutral
"With this, we are on track to reach our industry-leading science-based target to reduce our scope 1 and 2 emissions intensity by 93 % since 2018 and to reach our target of a 99 % renewable share of energy generation by 2025.",neutral
"We have been reporting on sustainability for the last two decades, and in 2024, we have further developed our reporting to comply with the new European Sustainability Reporting Standards (ESRS) framework.",neutral
"For investors and other stakeholders, the standardisation and transparency of this new regulation will ensure greater comparability across companiesÕ sustainability impacts, risks, and opportunities.",neutral
"In 2024, we reduced our total recordable injury rate (TRIR).",negative
"It is the second year in a row that we experience a reduction, and we see it as a result of our longterm focused effort on safety.",neutral
"We welcome the reduction in TRIR, and we will continue our safety improvement initiatives to ensure the trend continues.",neutral
The year 2024 proved to be a challenging year for the industry and for ¯rsted.,negative
We have experienced headwinds and have therefore taken necessary actions while leveraging our 30 years of experience to achieve several milestones across our renewables portfolio.,neutral
We have made substantial divestments and advanced our focused company-wide business priorities.,neutral
We have done this to ensure the strongest possible platform to deliver consistent value in the years to come.,neutral
We believe in the long-term fundamentals of the renewables industry and will continue to navigate existing and new market challenges as well as engage proactively to restore investor confidence in ¯rsted and in offshore wind as an industry.,neutral
"In 2024, we have worked relentlessly to strengthen and improve the conditions for our industry in close dialogue with key stakeholders, and we will continue this effort in 2025.",neutral
"We will continue our journey to adapt to the new reality by constantly improving our competitiveness to remain one of the worldÕs leading developers, constructors, and generators of renewable assets.",neutral
"On behalf of the Board, we would like to thank Mads Nipper for his commitment to ¯rstedÕs vision and his strong and constructive collaboration over the past four years.",positive
"As a concluding remark, we would like to express our sincere gratitude to our skilled colleagues, who, throughout a year of uncertainty and redundancies, yet again proved their unwavering commitment, and who continue to drive the energy transition forward.",negative
11 ManagementÕs r ¯RSTED ANNUAL REPORT 2024 eview | Overview,neutral
"This year, Danske Bank will celebrate its 150-year anniversary, and since the foundation in 1871, it has been our role to contribute to economic growth in the societies we are part of by enabling families and businesses to save and invest and to prepare for the opportunities and challenges that lie ahead.",positive
The COVID-19 pandemic was a challenge that few had anticipated.,neutral
It hit without warning and turned lives and businesses upside down.,neutral
"But as a solid and well-capitalised bank, Danske Bank has been in a good position to support our customers, and we have helped reduce economic uncertainty by extending credit lines, by helping customers assess risks, and by contributing to the maintenance of a well functioning financial infrastructure.",positive
The crisis has reaffirmed why we are here.,negative
We play an important role for our customers and for the financial infrastructure across the Nordic countries.,neutral
"We contribute to growth and prosperity, and we act as an anchor that creates security and continuity when economic cycles turn and crises arise.",positive
COVID-19 continues to be a tremendous challenge.,neutral
"But our experience over the past year has demonstrated our ability to change and adapt, and it has shown us what we can achieve when we all work together to overcome such a challenging situation.",negative
This bodes well for the profound and ambitious transformation we have ahead of us.,neutral
"In 2019, we announced our ambition to become a better bank for customers, employees, society and shareholders.",neutral
"In addition to changing the way we work and the way we are organised, we are also making substantial investments to become a more digital and agile bank that has lower costs, fewer and simpler products, and better and faster decision making processes.",neutral
This will make us more attractive to customers Ð and more competitive.,positive
"It will also make us a better and more engaging place to work, which will help us to recruit new talent and retain the good employees we already have.",neutral
"Collectively, this will enable us to strengthen our commercial momentum and to deliver to our shareholders better and more sustainable financial results in a competitive market with low margins and persistently low interest rates.",positive
"Over the past year, we have also continued to strengthen our risk and compliance setup and have taken active measures to address and resolve legacy issues that have been both wrong and unacceptable.",negative
"As we continue this work, we are promoting a culture in which mistakes are addressed, discussed and resolved in a responsible manner.",neutral
"This is the only way we can rebuild trust, and it is a key element of our ambition to become a better bank that works in the interest of all stakeholders.",neutral
Danske Bank has evolved over a century and a half as a reflection of the societies we are part of.,neutral
"We have helped shape these societies by creating opportunities, by helping individuals and businesses to realise their ambitions, and by helping to build and innovate the financial infrastructure.",neutral
"As the largest financial services provider in Denmark and one of the largest financial institutions in the Nordic countries, we have a particular responsibility to contribute to sustainable growth and development.",positive
We will fulfil this responsibility by continuing to evolve in tandem with the world around us to run a sustainable and profitable business that delivers the solutions that our customers and society need.,neutral
"The year before last, we announced an ambitious new strategy, Forward Õ28, which sets out clear strategic priorities for strengthening our position as a leading bank in the Nordic region.",positive
"The year 2024 marked the first year of execution in our new strategy period, and our achievements over the past year are testimony to the hard work and dedication of our employees and demonstrate our ability to work together on the goals we set.",neutral
Our achievements have also reinforced our confidence as well as that of our stakeholders in the strength of our strategy.,neutral
"In recent years, we have made fundamental changes to Danske Bank, which have made us a more focused business with a stronger organisation and greater potential - and in 2024, we continued to build on the commercial momentum gained in recent years.",positive
"Our financial results have continued to improve, as reflected by higher income levels, tightly managed costs and a higher return on equity.",positive
We see strong investor confidence and rising customer satisfaction scores.,positive
"In November 2024, we were rated the most preferred bank by large businesses in Denmark and subsequently received the same top rating among large businesses across all of the Nordic countries.",neutral
"In addition, we saw significant improvements in our reputational scores among both business and personal customers, with customers rating our online meetings and advisory services best in class.",neutral
"We also saw significant improvements in our attractiveness as an employer among university and business graduates, and we now rank higher than any other Danish bank in this respect.",neutral
This is important as it enables us to continue recruiting the most talented and motivated graduates to help us provide the best possible services to our customers.,neutral
"As part of our Forward Õ28 strategy, we made the strategic decision to focus our business in Norway on business customers and large corporate and institutional customers.",positive
"With our personal customer business in Norway now fully divested, we have successfully executed on this key element of our strategy.",neutral
Another key component of Forward Õ28 is a strategic decision to focus our time on our customersÕ most complex financial needs.,positive
"By investing in digital solutions that enable customers to handle more of their day-to-day finances on their own, we are empowering them financially while also freeing up time for our employees to spend on more demanding and complex advisory services.",neutral
This approach is proving a strong value proposition in a time of complexity and uncertainty.,positive
"Our world is changing, and our customers are faced with transitioning to this changing world and its new realities.",neutral
"The results and achievements of Danske Bank over the past year are the outcome of a collective effort throughout the organisation, and we want to thank our colleagues for their continued dedication, talent and drive to create value for customers, shareholders and society at large.",neutral
"The motivation of our colleagues is a prerequisite for our success as a bank, and it was therefore a key milestone in 2024 to see the continued improvement in employee satisfaction and engagement scores from already high levels.",neutral
"In this respect, we are now above the industry benchmark.",neutral
"The trust our shareholders place in us is equally important, and we are therefore pleased that, following years of limited capital distribution, we are able to reward our shareholders through our ordinary and extraordinary dividend payments and share buy-back programmes.",neutral
"Our shareholders include large professional investors and more than 175,000 private individuals in Denmark, who have chosen to invest part of their savings in Danske Bank shares.",neutral
"Creating value for our shareholders is as crucial as creating value for our customers, employees and the societies we are part of.",neutral
"And at Danske Bank, we firmly believe that the interests of our different stakeholders go hand in hand.",neutral
This is particularly true when it comes to sustainability and the green transition.,neutral
"Whether it is advising businesses on commercially sustainable paths towards a carbon-neutral future economy or financing energy renovation for homeowners, our efforts to help our customers turn challenges into viable solutions and opportunities create value for customers, for us as a bank and for the societies we are part of.",neutral
"In a broader sense, this is what we have been doing for more than 150 years.",neutral
"Since the foundation of Danske Bank in 1871, we have helped our customers adapt and transition to new times and to turn challenges into new opportunities.",neutral
And it is an effort and a commitment that is reflected in our purpose as a bank: ÒTo release the potential in people and businesses by using the power of finance to create sustainable progress today and for generations to come.Ó,neutral
"The decisions our global society takes today, and in the next few years, determine whether we pass a habitable planet on to future generations.",neutral
Science recommends that we halve global carbon emissions by 2030 to have a chance of limiting the temperature rise to 1.5û C and mitigating the risk of irreversible tipping points in our global ecosystems.,negative
Many governments raised their carbon emission reduction targets and further reinforced their build-out plans for renewable energy production capacity.,positive
Several large companies also set targets for their decarbonisation and acted firmly to make their business models more sustainable.,neutral
"Targets and actions by both governments and corporations bode well for our planet, but to limit the increase in temperature to 1.5 û C, even more decisive action is needed.",positive
Our target is to become a fully carbon-neutral company by 2025.,neutral
"In 2020, we continued the build-out of our green power generation capacity both onshore and offshore.",neutral
We also initiated a range of renewable hydrogen projects.,neutral
"Renewable hydrogen will enable sectors like cement, ammonia, heavy road transport, aviation, and shipping to transition to fossil-free energy.",neutral
"Like it was for offshore wind, innovation and industrialisation in renewable hydrogen are required to bring down costs, making the new green fuels competitive.",neutral
"This year, we divested our downstream retail customer and power distribution businesses, which marks another big step in the renewable energy transformation.",neutral
Our vision is a world that runs entirely on green energy.,neutral
"¯rsted wants to partner with countries and companies, helping them to leave fossil fuels behind, and in 2020, we saw a breakthrough for comprehensive long-term green power purchase agreements.",neutral
The COVID-19 pandemic affected everybody in 2020.,neutral
"We are a safety-first company, and during the pandemic, our priority has been the health and well-being of our employees, their families, and the communities which we are a part of.",neutral
"Thanks to our careful and talented staff, ¯rstedÕs operations have remained stable, and our development and construction projects have moved forward according to plan during the pandemic.",neutral
"All employees have adapted impressively to new routines and pushed through with projects, despite sudden and unforeseen obstacles.",neutral
We will continue to closely follow the situation in the markets where we operate and will continue adhering to national guidelines and regulations to help minimise the spread of the pandemic and keep our employees and partners safe.,neutral
"Even in this time of significantly increased global uncertainty, ¯rstedÕs business model has demonstrated its resilience.",negative
We were able to raise our financial guidance in March and maintained it throughout the year.,neutral
"EBITDA for the year amounted to DKK 18.1 billion, thereby exceeding our expectations and resulting in a ROCE of 10 %.",neutral
"Profit for the year amounted to DKK 16.7 billion, significantly impacted by the gain from divestment of our power distribution activities.",positive
"The Board of Directors recommends paying a dividend of DKK 11.5 per share, corresponding to DKK 4.8 billion.",neutral
"On behalf of the Board of Directors, I would like to thank the employees and management of ¯rsted for an outstanding effort during a period of global uncertainty and for keeping us on track towards creating a world that runs entirely on green energy.",negative
"I would also like to express special thanks to former CEO Henrik Poulsen for his exemplary leadership in the past eight years during which ¯rsted was transformed completely from a financially challenged, regional, fossil-based energy company to a highly profitable global leader in renewable energy.",neutral
Our company is stronger than ever and Ð even more important Ð has developed a promising platform for continued growth.,positive
"With Mads Nipper on board as our new CEO from this January, we remain as committed as ever to staying at the forefront of the global energy transformation and to offering costeffective green energy solutions and enabling governments and companies to power the world with green energy.",neutral
"In 2020, our operating profit (EBITDA) amounted to DKK 18.1 billion, a 4 % increase compared to last year.",positive
Earnings from our offshore and onshore wind farms in operation increased by 14 %.,neutral
"This was driven by ramp-up of green power generation from Hornsea 1, Borssele 1 & 2, Lockett, Sage Draw, Plum Creek, and Willow Creek and receipt of CfDs of another 400 MW of Hornsea 1 from April.",neutral
"Futhermore, we had higher wind speeds in 2020.",neutral
"These positive effects were partly offset by lower earnings from trading related to hedging of our power exposures, which generated very high earnings in 2019, and adverse COVID-19 related impacts.",positive
The latter mainly manifested itself in the UK power prices due to a lower demand for electricity.,neutral
This led to higher balancing tariffs (BSUoS) from National Grid and lower ROC recycle prices.,neutral
"Furthermore, we saw hours with negative prices in the UK from April to July.",negative
We are on track to meet our target of an average yearly increase in EBITDA from offshore and onshore wind farms and solar farms in operation of 20 % from 2017 to 2023.,positive
"The divestment of our Danish power distribution, residential customer, and city light businesses resulted in proceeds of DKK 20.5 billion with a gain of DKK 10.9 billion which will be deployed into our global renewable energy build-out plan.",positive
Our green share of heat and power generation continued to increase and reached a new high of 90 %.,positive
"Return on capital employed (ROCE) was 10 % for 2020, in line with our target.",neutral
"Since the outbreak of COVID-19, our Corporate Crisis Management Organisation (CCMO) has met regularly, focusing on the health and safety of our employees and on ensuring business continuity.",negative
"During 2020, we had 146 confirmed infected colleagues and fortunately no casualties from COVID-19.",neutral
We continue to do our utmost to keep our colleagues safe across our locations.,neutral
"Our asset base has been fully operational, and we maintained normal availability rates at our offshore and onshore wind farms and CHP plants throughout 2020.",neutral
"Construction of our projects largely progressed according to plan, both in Europe, Asia Pacific, and the US.",neutral
"The construction project most affected by COVID-19 was the offshore wind farm Hornsea 2, due to delays in the offshore topside construction at a shipyard in Singapore which was temporarily closed.",neutral
"However, we do not expect the delay to affect the commissioning date.",neutral
"2020 was a good year for our offshore business with many significant milestones and achievements, although with some headwind in the US.",neutral
"In December, we commissioned the 752 MW Dutch wind farm Borssele 1 & 2 on schedule and within budget.",neutral
"The wind farm deploys 94 Siemens Gamesa 8 MW wind turbines, making it the largest-ever built in the Netherlands, and will supply renewable energy to 1 million households.",neutral
"During the construction of Borssele 1 & 2, we passed a significant milestone by installing ¯rstedÕs offshore wind turbine number 1,500.",neutral
"In North America, the 12 MW Coastal Virginia demonstration project, which we have constructed for Dominion Energy as an EPC contractor, was commissioned.",neutral
The offshore wind farm is the first-ever to receive federal permits and be installed in US federal waters.,neutral
"We are installing foundations at our 1,386 MW offshore wind project Hornsea 2 in the UK.",neutral
"At our 900 MW offshore wind project Greater Changhua 1 & 2a in Taiwan, we are preparing for installation of foundations which will commence in the first quarter of 2021.",neutral
Both wind farms are expected to be commissioned in 2022 and will become the largest offshore wind farms in their respective regions.,neutral
"In December, we signed an agreement to farm down 50 % of the 605 MW offshore wind farm Greater Changhua 1 to CDPQ, a Canadian pension fund, and Cathay PE, a Taiwanese private equity fund.",neutral
The farm-down is the largest-ever renewable energy M&A transaction in Taiwan and underpins the attractiveness of our offshore wind assets in Asia Pacific.,neutral
We selected Siemens Gamesa as preferred wind turbine supplier for our 900 MW Borkum Riffgrund 3 and 242 MW Gode Wind 3 projects.,neutral
"Subject to final investment decision, both projects will deploy 11 MW wind turbines with 200-metre rotors.",neutral
"In addition, we signed a 10-year corporate power purchase agreement (CPPA) with Amazon to buy 250 MW of the output from Borkum Riffgrund 3.",neutral
This is our first offshore wind PPA with a global tech company and the largest offshore wind CPPA in Europe.,neutral
"In July, we signed a CPPA with Taiwan-based TSMC, the worldÕs largest semiconductor foundry.",neutral
"TSMC will offtake the full generation from our 920 MW offshore wind farm Greater Changhua 2b & 4, making it the largest-ever renewable energy CPPA.",neutral
"The 20-year fixedprice contract period will start once the wind farm reaches commercial operation, expectedly in 2025 or 2026, subject to grid availability and ¯rstedÕs final investment decision.",neutral
"In December, we entered into an agreement with New JerseyÕs Public Service Enterprise Group (PSEG) to sell a 25 % ownership interest in our 1.1 GW offshore wind development project Ocean Wind 1.",neutral
The project is the first large-scale offshore wind farm in New Jersey.,neutral
"In March, we entered into an agreement with TEPCO to establish a joint venture company for offshore wind in Japan, with the intention of working towards a joint bid in the first Japanese auction, now expectedly this year.",neutral
"In December, we were granted consent to move into the final development phase of the offshore wind farm Hornsea 3 by the UK Secretary of State for the Department for Business, Energy & Industrial Strategy.",neutral
"The offshore wind farm has a potential capacity of more than 2.4 GW and is adjacent to our offshore wind farms Hornsea 1 and Hornsea 2, off the East Coast of the UK.",neutral
"With the consent granted, the wind farm will be able to enter the next UK auction round for a contract for difference (CfD), expectedly in 2021.",neutral
"Our pipeline of US offshore development projects is moving forward, but we are still waiting for the US Bureau of Ocean Energy Management (BOEM) to decide on the preferred wind farm layout for the buildout of offshore wind for our north-eastern projects in our New England lease areas.",neutral
"Furthermore, while we are still waiting for clarity concerning the federal permitting process for our projects, there are positive signs that the bottleneck will be resolved imminently.",positive
We had expected to receive the Ônotices of intentÕ (NOIs) from BOEM for our advanced-stage development projects following the release and public comment process regarding the Vineyard Wind Supplemental Environmental Impact Study in 2020.,neutral
"While that did not happen, we are starting to see some promising signs of movement.",neutral
The timely issuance of the draft Ôenvironmental impact statementÕ (EIS) on 4 January 2021 for our South Fork project bodes well.,neutral
So does the announcement of the Ôinitiation of action noticeÕ (IAN) (a prelude to NOIs issuance) for the Ocean Wind 1 project.,neutral
"All signs from the incoming Joe Biden Administration indicate they will support a timely, predictable permitting regime.",neutral
"Revolution Wind, Ocean Wind 1, Skipjack Wind, and Sunrise Wind will likely be delayed beyond the previously expected 2023 and 2024 construction years.",neutral
"We have flexibility in the timeline for all four projects, and we have been able to make good progress on other project milestones in the meantime.",neutral
"However, until there is a clear timeline from BOEM, we cannot solidify our construction schedules.",neutral
"With regards to South Fork Wind, we remain comfortable with our previously communicated timeline with COD in late 2023.",neutral
"Despite the permitting delays, we remain confident that we can deliver our US project portfolio with satisfactory value creation, which is supported by the commitment to rapid clean energy deployment from the Joe Biden Administration, the US TreasuryÕs recent announcement of a 10-year continuity safe harbour for offshore wind in addition to a new 30 % ITC level for projects starting construction in 2017-2025, which will help expand tax credit eligibility.",neutral
We continue to see solid longterm growth and value creation potential in US offshore wind.,positive
"In 2020, we made progress towards a greener future based on renewable hydrogen.",neutral
"We continuously pursue opportunities within industrial-scale production of renewable hydrogen, and during 2020 and early 2021, we have secured funding for three projects, one in the UK, one in Germany, and a joint consortium in the EU.",neutral
"We also entered into an additional three partnerships, one in Germany, one in the Netherlands, and one in Denmark.",neutral
Our most recent hydrogen partnership was agreed with British energy company bp in November and will comprise a 50 MW electrolyser plant at bpÕs Lingen Refinery in Germany.,neutral
The plant is expected to be operational in 2024 and will replace approx.,neutral
20 % of the fuel-based hydrogen from the refinery.,neutral
The project is the first stage towards a long-term ambition to build a capacity of more than 500 MW of renewable hydrogen at Lingen.,neutral
This would replace the entire production of fuel-based hydrogen at the refinery.,neutral
"Furthermore, we joined forces with Yara, the worldÕs leading fertiliser company, to develop a pioneering project aiming at replacing fossil hydrogen with renewable hydrogen in the production of ammonia with the potential to abate more than 100,000 tonnes of CO2 per year.",neutral
"In 2020, we saw strong traction in our Onshore business, underpinned by the commissioning of three new wind farms, the acquisitions of two late-stage projects, and the decision to construct another onshore wind farm and a solar farm.",positive
"During the year, we successfully commissioned the three US onshore wind farms Sage Draw, Plum Creek, and Willow Creek, located in Texas, Nebraska, and South Dakota, respectively.",neutral
"In July, we acquired the 227 MWac solar project Muscle Shoals in Alabama, US.",neutral
The project is expected to be commissioned in Q3 this year and will become the largest solar energy asset in the south-eastern US.,neutral
The project is eligible for 30 % ITC and has a fully contracted 20-year utility PPA.,neutral
The project further diversifies the geographic footprint of our asset base by establishing a foothold in the rapidly growing south-eastern solar market.,neutral
"In September, we took final investment decision on constructing the onshore wind farm Western Trail in Texas.",neutral
"This greenfield project has a capacity of 367 MW and is eligible for 100 % PTC when commissioned, expectedly during Q3 this year.",neutral
"In October, we acquired the late-stage 298 MW onshore development project Haystack.",neutral
"The wind project is located very close to our onshore wind farm Plum Creek in Nebraska, also residing in the South-West Power Pool (SPP) area.",neutral
"With the acquisition, we further expanded our footprint into this market which will play an important part in our growth in North America and diversify our portfolio.",positive
"In November, we also took final investment decision on constructing the Old 300 Solar Center which is a 430 MWac solar project also located in Texas with 30 % ITC eligibility.",neutral
We expect Old 300 to be commissioned during Q2 2022.,neutral
"In addition, we are currently constructing the combined solar (420 MWac) and storage (40 MWac) project Permian Energy Center in Texas, US.",neutral
"The project is progressing according to plan, and we expect Permian to be commissioned by mid-2021 with 30 % ITC eligibility.",neutral
"With the completion of Sage Draw, Plum Creek, and Willow Creek and the addition of Muscle Shoals, Western Trail, Haystack, and Old 300 Solar Center, we now have 3.4 GW of combined onshore wind and solar PV in operation or under construction, and we remain very satisfied with the expansion of our onshore business.",positive
"During 2020, we continued streamlining our Markets & Bioenergy business.",neutral
"In August, we completed the divestment of our Danish power distribution, residential customer, and city light businesses to SEASNVE (now Andel).",neutral
"The divestment marks an important strategic milestone for ¯rsted, and the proceeds will be deployed into our global renewable energy build-out plan.",positive
"In December, we completed the divestment of our LNG activities to Glencore, and in September, we signed an agreement to divest the vast majority of our UK B2B customer portfolio to Total Gas & Power.",neutral
We will keep some of our strategic long-term partners and customers to whom we deliver risk management products.,positive
We expect the transaction to close in Q1 2021.,neutral
"In November, we signed a 15-year route-tomarket agreement with SSE Renewables and Equinor to balance power generation from their offshore wind farm Dogger Bank in the UK.",neutral
The contract is the largest balancing agreement won in a competitive tender process in the UK market.,neutral
"Under the agreement, ¯rsted will be responsible for trading and balancing 40 % of the 960 MW generated from the first two phases of the wind farm, when completed in 2026.",neutral
The agreement will add further scale to our portfolio and underlines our position as a leading green energy trading company in the UK.,neutral
"In mid-October, the Renescience wasterecycling plant in Northwich, the UK, was successfully commissioned after passing the final performance test.",neutral
"With the commissioning of Renescience Northwich, we reached another important milestone.",neutral
"We will continue to monitor the plantÕs performance, while exploring the broader commercial potential of this recycling technology.",neutral
"In March, the Copenhagen Maritime & Commercial Court decided to close the action for damages, ruling in ¯rstedÕs favour.",neutral
The action related to a claimed abuse of a dominant position on the market for wholesale of physical electricity in western Denmark from 2003 to 2006.,neutral
