Sentence,Sentiment
early take fid wind farm baltica far add gw construction portfolio,neutral
onshore business take fid several project most significant onshore wind farm badger wind storage project adjacent solar farm old,neutral
end gw onshore capacity construction,neutral
uk reach significant milestone uk department energy security net zero desnz award gw capacity offshore wind farm hornsea hornsea,neutral
operational hornsea worldo single large offshore wind farm capacity gw,neutral
most project progress accord plan work diligently de risk portfolio,negative
however continue face manage supply chain construction challenge two us offshore construction project revolution wind sunrise wind,neutral
partnership divestment programme track several divestment initiate conclude year,neutral
total proceed transaction make up dkk billion target dkk billion,neutral
divest four operational uk offshore wind farm combine total capacity gw brookfield taiwanese offshore wind farm great changhua mw cathay life insurance,neutral
onshore make partial divestment four us operational wind farm mw stonepeak partial divestment solar farm mockingbird energy capital partner ecp,neutral
additionally partnership ecp sign agreement partially divest solar farm sparta solar battery storage project eleven mile solar center closing expect,neutral
lastly divest onshore platform france engie,neutral
innovation another lever improve competitiveness continue forefront industry,neutral
develop new low noise foundation installation method strengthen exist protection marine life,neutral
beyond noise reduction new technology step change offshore wind monopile installation adopt scale overcome pile refusal challenge provide cheap fast installation monopile installation technology,neutral
addition launch worldo first heavy lift cargo drone operation offshore wind farm borssele,neutral
drone improve operational efficiency safety offshore wind industry,neutral
organisational efficiency programme include company wide coordinated redundancy round conclude november,neutral
impact employee satisfaction score,neutral
motivation well colleague high importance increase employee satisfaction key priority,positive
ebitda total dkk billion compare dkk billion,neutral
ebitda exclude new partnership cancellation fee amount dkk billion increase dkk billion compare line guidance dkk billion,positive
earning positively impact ocean wind cancellation fee continue work supplier contract finalise negotiation several contract well outcome assume,neutral
net provision cease flagshipone lead positive ebitda impact dkk billion,positive
ebitda new partnership limit relate farm down great changhua mockingbird,neutral
earning site operation offshore increase almost amount dkk billion mainly due ramp up generation great changhua south fork gode wind high wind speed high pricing inflation index cfds green certificate,negative
low availability dampen increase,positive
recognise net impairment dkk billion majority dkk billion relate us project decision cease construction flagshipone dkk billion,neutral
us impairment due increase us longdate interest rate low market inform valuation us seabed construction delay high expect cost us project revolution wind sunrise wind,positive
roce year,neutral
adjust impairment cancellation fee roce amount,neutral
profit year amount dkk billion,positive
exclude impairment tax cancellation fee profit year dkk billion,positive
commitment sustainable build core business,neutral
three strategic sustainability priority decarbonisation biodiversity community impact play enabling role strategy project delivery,positive
support mitigate risk deliver resilient energy project also drive positive change society nature,positive
see strong progress three priority,positive
among thing launch obiodiversity measurement frameworko guide transparent measurement reporting biodiversity impact,neutral
also reach last big milestone transform energy production renewable energy shut down last coal fire power station,neutral
track reach industry lead science base target reduce scope emission intensity since reach target renewable share energy generation,neutral
report sustainability last two decade far develop reporting comply new european sustainability reporting standard esrs framework,neutral
investor stakeholder standardisation transparency new regulation ensure great comparability across companieso sustainability impact risk opportunity,neutral
reduce total recordable injury rate trir,negative
second year row experience reduction see result longterm focused effort safety,neutral
welcome reduction trir continue safety improvement initiative ensure trend continue,neutral
year prove challenging year industry rsted,negative
experience headwind therefore take necessary action leverage year experience achieve several milestone across renewable portfolio,neutral
make substantial divestment advance focused company wide business priority,neutral
ensure strong possible platform deliver consistent value year come,neutral
believe long term fundamental renewable industry continue navigate exist new market challenge well engage proactively restore investor confidence rsted offshore wind industry,neutral
work relentlessly strengthen improve condition industry close dialogue key stakeholder continue effort,neutral
continue journey adapt new reality constantly improve competitiveness remain one worldo lead developer constructor generator renewable asset,neutral
behalf board like thank mad nipper commitment rstedo vision strong constructive collaboration over past four year,positive
concluding remark like express sincere gratitude skilled colleague throughout year uncertainty redundancy yet prove unwavering commitment continue drive energy transition forward,negative
managementos rste annual report eview overview,neutral
year danske bank celebrate year anniversary since foundation role contribute economic growth society part enable family business save invest prepare opportunity challenge lie ahead,positive
covid pandemic challenge few anticipate,neutral
hit without warn turn life business upside down,neutral
but solid well capitalise bank danske bank good position support customer help reduce economic uncertainty extend credit line help customer assess risk contribute maintenance well function financial infrastructure,positive
crisis reaffirm,negative
play important role customer financial infrastructure across nordic country,neutral
contribute growth prosperity act anchor create security continuity economic cycle turn crisis arise,positive
covid continue tremendous challenge,neutral
but experience over past year demonstrate ability change adapt show achieve work together overcome challenging situation,negative
bode well profound ambitious transformation ahead,neutral
announce ambition become well bank customer employee society shareholder,neutral
addition change way work way organise also make substantial investment become digital agile bank low cost few simple product well fast decision make process,neutral
make attractive customer competitive,positive
also make well engaging place work help recruit new talent retain good employee already,neutral
collectively enable strengthen commercial momentum deliver shareholder well sustainable financial result competitive market low margin persistently low interest rate,positive
over past year also continue strengthen risk compliance setup take active measure address resolve legacy issue wrong unacceptable,negative
continue work promote culture mistake address discuss resolve responsible manner,neutral
way rebuild trust key element ambition become well bank work interest stakeholder,neutral
danske bank evolve over century half reflection society part,neutral
help shape society create opportunity help individual business realise ambition help build innovate financial infrastructure,neutral
large financial service provider denmark one large financial institution nordic country particular responsibility contribute sustainable growth development,positive
fulfil responsibility continue evolve tandem world around run sustainable profitable business deliver solution customer society,neutral
year last announce ambitious new strategy forward set clear strategic priority strengthen position lead bank nordic region,positive
year mark first year execution new strategy period achievement over past year testimony hard work dedication employee demonstrate ability work together goal set,neutral
achievement also reinforce confidence well stakeholder strength strategy,neutral
recent year make fundamental change danske bank make focused business strong organisation great potential continue build commercial momentum gain recent year,positive
financial result continue improve reflect high income level tightly manage cost high return equity,positive
see strong investor confidence rise customer satisfaction score,positive
november rate most preferred bank large business denmark subsequently receive top rating among large business across nordic country,neutral
addition see significant improvement reputational score among business personal customer customer rate online meeting advisory service well class,neutral
also see significant improvement attractiveness employer among university business graduate rank high danish bank respect,neutral
important enable continue recruit most talented motivated graduate help provide good possible service customer,neutral
part forward strategy make strategic decision focus business norway business customer large corporate institutional customer,positive
personal customer business norway fully divest successfully execute key element strategy,neutral
another key component forward strategic decision focus time customerso most complex financial,positive
invest digital solution enable customer handle day day finance own empower financially also free up time employee spend demanding complex advisory service,neutral
approach prove strong value proposition time complexity uncertainty,positive
world change customer face transition change world new reality,neutral
result achievement danske bank over past year outcome collective effort throughout organisation want thank colleague continue dedication talent drive create value customer shareholder society large,neutral
motivation colleague prerequisite success bank therefore key milestone see continue improvement employee satisfaction engagement score already high level,neutral
respect above industry benchmark,neutral
trust shareholder place equally important therefore pleased follow year limited capital distribution able reward shareholder ordinary extraordinary dividend payment share buy back programme,neutral
shareholder include large professional investor private individual denmark choose invest part saving danske bank share,neutral
create value shareholder crucial create value customer employee society part,neutral
danske bank firmly believe interest different stakeholder go hand hand,neutral
particularly true come sustainability green transition,neutral
whether advise business commercially sustainable path towards carbon neutral future economy finance energy renovation homeowner effort help customer turn challenge viable solution opportunity create value customer bank society part,neutral
broad sense year,neutral
since foundation danske bank help customer adapt transition new time turn challenge new opportunity,neutral
effort commitment reflect purpose bank oto release potential people business use power finance create sustainable progress today generation come,neutral
decision global society take today next few year determine whether pass habitable planet future generation,neutral
science recommend halve global carbon emission chance limit temperature rise u c mitigate risk irreversible tipping point global ecosystem,negative
many government raise carbon emission reduction target far reinforce build plan renewable energy production capacity,positive
several large company also set target decarbonisation act firmly make business model sustainable,neutral
target action government corporation bode well planet but limit increase temperature u c even decisive action,positive
target become fully carbon neutral company,neutral
continue build green power generation capacity onshore offshore,neutral
also initiate range renewable hydrogen project,neutral
renewable hydrogen enable sector like cement ammonia heavy road transport aviation shipping transition fossil free energy,neutral
like offshore wind innovation industrialisation renewable hydrogen require bring down cost make new green fuel competitive,neutral
year divest downstream retail customer power distribution business mark another big step renewable energy transformation,neutral
vision world run entirely green energy,neutral
rste want partner country company help leave fossil fuel behind see breakthrough comprehensive long term green power purchase agreement,neutral
covid pandemic affect everybody,neutral
safety first company pandemic priority health well employee family community part,neutral
thank careful talented staff rstedo operation remain stable development construction project move forward accord plan pandemic,neutral
employee adapt impressively new routine push project despite sudden unforeseen obstacle,neutral
continue closely follow situation market operate continue adhere national guideline regulation help minimise spread pandemic keep employee partner safe,neutral
even time significantly increase global uncertainty rstedos business model demonstrate resilience,negative
able raise financial guidance march maintain throughout year,neutral
ebitda year amount dkk billion thereby exceed expectation result roce,neutral
profit year amount dkk billion significantly impact gain divestment power distribution activity,positive
board director recommend pay dividend dkk per share correspond dkk billion,neutral
behalf board director like thank employee management rste outstanding effort period global uncertainty keep track towards create world run entirely green energy,negative
also like express special thank former ceo henrik poulsen exemplary leadership past eight year rste transform completely financially challenge regional fossil base energy company highly profitable global leader renewable energy,neutral
company strong ever even important develop promising platform continued growth,positive
mads nipper board new ceo january remain committed ever stay forefront global energy transformation offer costeffective green energy solution enable government company power world green energy,neutral
operating profit ebitda amount dkk billion increase compare last year,positive
earning offshore onshore wind farm operation increase,neutral
drive ramp up green power generation hornsea borssele lockett sage draw plum creek willow creek receipt cfds another mw hornsea april,neutral
futhermore high wind speed,neutral
positive effect partly offset low earning trading relate hedging power exposure generate very high earning adverse covid relate impact,positive
latter mainly manifest uk power price due low demand electricity,neutral
lead high balance tariff bsuo national grid low roc recycle price,neutral
furthermore see hour negative price uk april july,negative
track meet target average yearly increase ebitda offshore onshore wind farm solar farm operation,positive
divestment danish power distribution residential customer city light business result proceed dkk billion gain dkk billion deploy global renewable energy build plan,positive
green share heat power generation continue increase reach new high,positive
return capital employ roce line target,neutral
since outbreak covid corporate crisis management organisation ccmo meet regularly focus health safety employee ensure business continuity,negative
confirm infected colleague fortunately no casualty covid,neutral
continue utmost keep colleague safe across location,neutral
asset base fully operational maintain normal availability rate offshore onshore wind farm chp plant throughout,neutral
construction project largely progress accord plan europe asia pacific us,neutral
construction project most affect covid offshore wind farm hornsea due delay offshore topside construction shipyard singapore temporarily closed,neutral
however not expect delay affect commissioning date,neutral
good year offshore business many significant milestone achievement although headwind us,neutral
december commission mw dutch wind farm borssele schedule within budget,neutral
wind farm deploy siemens gamesa mw wind turbine make large ever build netherlands supply renewable energy million household,neutral
construction borssele pass significant milestone instal rstedo offshore wind turbine number,neutral
north america mw coastal virginia demonstration project construct dominion energy epc contractor commission,neutral
offshore wind farm first ever receive federal permit instal federal water,neutral
instal foundation mw offshore wind project hornsea uk,neutral
mw offshore wind project great changhua taiwan prepare installation foundation commence first quarter,neutral
wind farm expect commission become large offshore wind farm respective region,neutral
december sign agreement farm down mw offshore wind farm great changhua cdpq canadian pension fund cathay pe taiwanese private equity fund,neutral
farm down large ever renewable energy transaction taiwan underpin attractiveness offshore wind asset asia pacific,neutral
select siemens gamesa prefer wind turbine supplier mw borkum riffgrund mw gode wind project,neutral
subject final investment decision project deploy mw wind turbine metre rotor,neutral
addition sign year corporate power purchase agreement cppa amazon buy mw output borkum riffgrund,neutral
first offshore wind ppa global tech company large offshore wind cppa europe,neutral
july sign cppa taiwan base tsmc worldo large semiconductor foundry,neutral
tsmc offtake full generation mw offshore wind farm great changhua b make large ever renewable energy cppa,neutral
year fixedprice contract period start wind farm reach commercial operation expectedly subject grid availability rstedo final investment decision,neutral
december enter agreement new jerseyos public service enterprise group pseg sell ownership interest gw offshore wind development project ocean wind,neutral
project first large scale offshore wind farm new jersey,neutral
march enter agreement tepco establish joint venture company offshore wind japan intention work towards joint bid first japanese auction expectedly year,neutral
december grant consent move final development phase offshore wind farm hornsea uk secretary state department business energy industrial strategy,neutral
offshore wind farm potential capacity gw adjacent offshore wind farm hornsea hornsea off east coast uk,neutral
consent grant wind farm able enter next uk auction round contract difference cfd expectedly,neutral
pipeline offshore development project move forward but still wait us bureau ocean energy management boem decide preferred wind farm layout buildout offshore wind north eastern project new england lease area,neutral
furthermore still wait clarity concern federal permitting process project positive sign bottleneck resolve imminently,positive
expect receive onotice intento nois boem advanced stage development project follow release public comment process regard vineyard wind supplemental environmental impact study,neutral
not happen start see promising sign movement,neutral
timely issuance draft oenvironmental impact statemento eis january south fork project bode well,neutral
announcement oinitiation action noticeo ian prelude nois issuance ocean wind project,neutral
sign incoming joe biden administration indicate support timely predictable permit regime,neutral
revolution wind ocean wind skipjack wind sunrise wind likely delay beyond previously expect construction year,neutral
flexibility timeline four project able make good progress project milestone meantime,neutral
however clear timeline boem not solidify construction schedule,neutral
regard south fork wind remain comfortable previously communicate timeline cod late,neutral
despite permitting delay remain confident deliver us project portfolio satisfactory value creation support commitment rapid clean energy deployment joe biden administration us treasuryos recent announcement year continuity safe harbour offshore wind addition new itc level project start construction help expand tax credit eligibility,neutral
continue see solid longterm growth value creation potential offshore wind,positive
make progress towards green future base renewable hydrogen,neutral
continuously pursue opportunity within industrial scale production renewable hydrogen early secure funding three project one uk one germany joint consortium eu,neutral
also enter additional three partnership one germany one netherlands one denmark,neutral
most recent hydrogen partnership agree british energy company bp november comprise mw electrolyser plant bpo lingen refinery germany,neutral
plant expect operational replace approx,neutral
fuel base hydrogen refinery,neutral
project first stage towards long term ambition build capacity mw renewable hydrogen lingen,neutral
replace entire production fuel base hydrogen refinery,neutral
furthermore join force yara worldo lead fertiliser company develop pioneering project aim replace fossil hydrogen renewable hydrogen production ammonia potential abate tonne co per year,neutral
see strong traction onshore business underpin commissioning three new wind farm acquisition two late stage project decision construct another onshore wind farm solar farm,positive
year successfully commission three us onshore wind farm sage draw plum creek willow creek locate texas nebraska south dakota respectively,neutral
july acquire mwac solar project muscle shoal alabama us,neutral
project expect commission q year become large solar energy asset south eastern us,neutral
project eligible itc fully contract year utility ppa,neutral
project far diversify geographic footprint asset base establish foothold rapidly grow south eastern solar market,neutral
september take final investment decision construct onshore wind farm western trail texas,neutral
greenfield project capacity mw eligible ptc commission expectedly q year,neutral
october acquire late stage mw onshore development project haystack,neutral
wind project locate very close onshore wind farm plum creek nebraska also reside south west power pool spp area,neutral
acquisition far expand footprint market play important part growth north america diversify portfolio,positive
november also take final investment decision construct old solar center mwac solar project also locate texas itc eligibility,neutral
expect old commission q,neutral
addition currently construct combine solar mwac storage mwac project permian energy center texas,neutral
project progress accord plan expect permian commission mid itc eligibility,neutral
completion sage draw plum creek willow creek addition muscle shoal western trail haystack old solar center gw combine onshore wind solar pv operation construction remain very satisfied expansion onshore business,positive
continue streamline market bioenergy business,neutral
august complete divestment danish power distribution residential customer city light business seasnve andel,neutral
divestment mark important strategic milestone rsted proceed deploy global renewable energy build plan,positive
december complete divestment lng activity glencore september sign agreement divest vast majority uk bb customer portfolio total gas power,neutral
keep strategic long term partner customer deliver risk management product,positive
expect transaction close q,neutral
november sign year route tomarket agreement sse renewable equinor balance power generation offshore wind farm dogger bank uk,neutral
contract large balancing agreement competitive tender process uk market,neutral
agreement rste responsible trading balancing mw generate first two phase wind farm complete,neutral
agreement add further scale portfolio underline position lead green energy trading company uk,neutral
mid october renescience wasterecycle plant northwich uk successfully commission pass final performance test,neutral
commissioning renescience northwich reach another important milestone,neutral
continue monitor plantos performance explore broad commercial potential recycling technology,neutral
march copenhagen maritime commercial court decide close action damage rule rstedo favour,neutral
action relate claim abuse dominant position market wholesale physical electricity western denmark,neutral
however action continue claimant decide appeal case danish western high court,neutral
seven bearer rsted name file subpoena prevent use name,neutral
may copenhagen maritime commercial court rule favour rsted,neutral
follow ruling plaintiff decide appeal case,neutral
november danish supreme court also rule favour rsted case closed,neutral
very pleased ruling supreme court uphold right use rsted name,neutral
choose tribute hans christian rste one great danish scientist time,neutral
discover electromagnetism year ago thus lay foundation produce electricity,neutral
december receive administrative decision danish tax agency require danish taxation british offshore wind farm walney extension hornsea,neutral
claim amount dkk billion plus interest addition taxis already pay denmark,neutral
accord decision rste tax denmark full future value two offshore wind farm despite fact develop own operate british subsidiary rsted group tax uk,neutral
disagree decision view base misconception risk value creation business model develop constructing operate offshore wind farm appeal danish tax appeal agency,neutral
furthermore take step ensure danish uk tax authority initiate negotiation avoid rsted subject double taxation necessary refer case independent arbitration panel,neutral
talented people remain most important asset rsted behalf executive committee like take opportunity acknowledge thank employee great job throughout year include adapt new challenge wake covid pandemic,neutral
very important attract develop retain good talent strongly believe value diverse workforce,neutral
aspire create environment everyone whatever personal background thrive perform grow,neutral
therefore also pleased see employee satisfaction survey people matter show record high satisfaction motivation score place rste top external benchmark,positive
january announce change organisational structure take effect february,neutral
change entail move business unit structure functional structure commercially focus function current business unit offshore market bioenergy bring together leadership martin neubert become cco deputy ceo member executive board,neutral
operationally focus function bring together new coo anders lindberg decide take new position outside rste,neutral
coo report mads nipper,neutral
consequence new corporate structure morten h buchgreitz decide leave company,neutral
anders morten tremendous job tenure rsted owe great gratitude,neutral
onshore remain separate business unit,neutral
onshore business differ rest rsted come technological maturity business model believe onshore well position realise full potential separate business unit,neutral
make change organisation establish even strong customer market focus far strengthen focus epc operation support scaling organisation continue strong growth trajectory year come,positive
externally continue report offshore onshore financial today,neutral
mean offshore continue include hydrogen activity,neutral
bioenergy legacy gas activity renescience report separate segment call bioenergy,neutral
very satisfied strategic progress result grateful support professionalism customer partner,positive
keenly aware together great thing live up high ambition,neutral
maintain lead position global high growth market build strong financially sustainable pipeline lay path future growth,positive
proud humble board directorso trust succeed henrik poulsen ceo rsted,neutral
create world run entirely green energy vision close heart,neutral
also want thank executive committee rste employee warm welcome,neutral
deeply impressed inspire passion motivation encounter throughout entire company make excited achieve,neutral
confident rsted stay globally leading renewable energy producer offshore onshore,neutral
convince rste worldo most sustainable energy company potential global catalyst systemic change accelerate green energy transition company operate,neutral
year great contrast,neutral
despite significant challenge carlsberg deliver strong result increase cash return shareholder,positive
year business impact horrible war ukraine,neutral
remain deeply disturb human tragedy unfold,neutral
throughout year first priority safety wellbeing ukrainian colleague whose resilience courage strength continue make profound impression everyone carlsberg,neutral
war lead take very difficult decision seek full disposal business russia,neutral
deeply regret consequence decision employee russia many loyal value member carlsberg family many year,neutral
despite immense challenge face business past three year financial health group remain very strong,positive
organic revenue growth,positive
support diminishing impact covid most market subsequently very good recovery trade price increase year,neutral
operating profit grow organically despite increase commodity price energy cost decision increase marketing investment,positive
report operating profit amount dkk bn,positive
free cash flow dkk bn roic improve bp,positive
read groupos financial result page,neutral
continuous uncertainty volatility fact life business,negative
early march suspend earning guidance year due considerable uncertainty pose war ukraine,negative
six week later reinstate guidance thank early reopening brewery ukraine well expect performance many market across region able increase earning guidance twice august october,positive
result strong business performance financial position group increase cash return shareholder,positive
march pay total dividend dkk bn year buy back share amount dkk bn,neutral
information cash return shareholder find page,neutral
mark year sailo strategy come end having successfully guide journey since,neutral
set sail next five year launch new strategy sailo early february,neutral
name suggest sailo build very strong foundation sailo,positive
go forward towards sharpen focus make distinct choice portfolio market execution culture raise financial ambition,neutral
within month launch sailo world business change dramatically due russian invasion ukraine,neutral
despite consequence business fundamental remain strong ambition priority sailo unchanged,positive
also remain confident ability deliver top bottom line growth ambition,positive
read sailo page,neutral
august launch enhance esg programme together towards zero beyond ttzab address environmental social governance esg topic impact stakeholder business most significantly milestone set,neutral
ttzab aspire achieve net zero carbon emission across entire value chain support new ambition target within agriculture packaging also raise ambition level sharpen target topic water responsible drinking diversity equity inclusion de i human right community engagement,neutral
ttzab embed sail key mechanism mitigate risk accomplish strategic objective demonstrate company purpose concrete target action result,positive
read ttzab page detail esg report,neutral
november celebrate carlsbergos th anniversary symbolically coincide international quality day,neutral
reflect year pursue well pioneering spirit curiosity quenchless thirst progress,neutral
always look brew beer exceed consumer expectation time continue,neutral
achieve excellent people proud pay tribute excellent colleague market function great work outstanding effort live spirit founder purpose brewing well today tomorrow every day,positive
far intensify de i effort,neutral
employee cover demographic far wide across nationality culture religion sexuality ability belief,neutral
believe nurture diverse equitable inclusive workforce support company performance help achieve financial ambition,neutral
therefore set time bind target include variable remuneration management,neutral
long term ambition least represent gender currently woman senior leadership role,neutral
read de i effort page detail esg report,neutral
end say farewell cfo heine dalsgaard,neutral
want thank heine significant contribution carlsberg group time not least relentless effort embed funding journey culture focus cost cash,neutral
very pleased welcome ulrica fearn new cfo january,neutral
ulrica bring strong international financial experience multiple senior position global company industry most recently cfo equinor norway,positive
prior year experience beverage industry,neutral
year leo evers evp asia leave group,neutral
succeed joo abecasis chief commercial officer,neutral
role chief commercial officer currently fill sren brinck evp strategy digital,neutral
another challenge year,negative
increase price offset continued increase cost,positive
beer historically resilient consumer category high price combination general high inflation may negative impact beer consumption market particularly europe,negative
addition development war ukraine impact business covid recovery china remain highly uncertain,neutral
address challenge leverage strong commercial programme well embed performance management system tool capability maintain investment sailo priority ambition drive long term profitable growth,positive
addition benefit diversified geographical footprint include exposure growth market asia,positive
past year impress high level engagement commitment groupos employee like say thank every one,neutral
particular want acknowledge long suffer colleague ukraine,neutral
greatly appreciate continue support trust show shareholder,neutral
also extend thank supplier customer cooperation express gratitude consumer around world,neutral
effect covid pandemic lessen change consumer behavior supply chain issue continue affect industry different way,neutral
food beverage human health deliver strong double digit growth support good market condition,positive
bioenergy double digit sale growth support recover ethanol production expansion starch base ethanol production latin america double digit sale growth grain tech processing come strong demand ag processing solution recovery textile,positive
household care agriculture animal health nutrition perform much expect,neutral
organic sale growth come year report ebit margin solid,positive
also see strong free cash flow dkk bn acquisition excellent return shareholder,positive
strong result enable make important strategic move grow capability biohealth much proud look back,positive
one specific takeaway time business sustainability platform focus agile stay true purpose,neutral
novozyme live purpose n together find biological answer well life grow world,neutral
itos power purpose give right dream n imagine well world help biotechnology,neutral
but dream become reality big possible impact bold ambition continue invest unleash growth potential,positive
everchanging world combine clear direction level agility keep pace change,neutral
thatos generate value shareholder but itos also well contribute world,neutral
september launch unlock growth power biotech meet growth ambition unleash novozymeso full potential,positive
refresh strategy roadmap ensure solution maximum impact guide invest innovate interact customer partner,neutral
but world opportunity require attentive prioritization boldly decide intend invest less ensure resource spend matter most,neutral
ultimately expertise reach far beyond enzyme,neutral
world class biotech toolbox enzyme protein microorganism oneof kind scale up ability global presence country,neutral
biotech powerhouse solid foundation build future,positive
throughout make important move well position novozyme employee show impressive ability bring new innovation market keep production run deliver time,neutral
novozymes growth company make significant investment progress year ensure future growth,positive
strengthen commitment alternative protein announcement dkk billion investment new state art production line advanced protein solution blair nebraska,neutral
investment tap grow market alternative source protein,neutral
meanwhile biohealth accelerate capability acquire majority stake synergia life sciences pvt,neutral
ltd lead player field spore probiotic vitamin k,neutral
follow acquisition early year microbiome lab purchase biota technology asset far add microbe innovation capability,neutral
emerge market increase reach achieve strong growth example yeast platform latin america,positive
new global powder center base india also help support customer region journey towards green detergent formulation,neutral
make numerous exciting product launch pristine help eliminate source bad odor fabric answer consumer call clothe smell feel fresh long,neutral
poultry producer new protease solution proact launch dsm novozymes alliance help achieve responsible profitable production improve animalso intake nutrient ensure great retention nitrogen metabolism animal lower nitrogen emission environment,neutral
customer bioenergy not expand yeast platform innova element fermentation process also enable make most new revenue stream fiberex f make even well use cellulose find corn kernel use not animal feed but also extract corn oil cellulosic ethanol,neutral
over next few year continue strengthen understanding customerso example make key investment customer co creation center food health,neutral
center allow immerse world nutrition customer well understand,neutral
also far develop digital offering customer,neutral
alone launch several digital tool different stage customer journey,neutral
offer line prediction tool smartbake help bake customer fresh keeping dosage trial provide quick easy access right enzyme dosage,neutral
june launch front sight digital program provide ethanol producer live datum real time analytic help dose corn enzyme production process ensure achieve high production yield right support throughout process,neutral
global leader responsible corporate citizen encourage drive change across entire value chain include society operate,neutral
solution play important role help customer contribute healthy planet but canot stop look beyond solution,neutral
set ambitious target work together drive sustainability agenda,neutral
shape strategy take honest look operational target ask well embrace leadership position sustainability,neutral
proud accomplish reduction co emission scope relative baseline know set tone market operate,neutral
result aim reduce absolute greenhouse gas ghg emission not scope but also scope take stock entire supply chain measure impact,neutral
addition commit maximize percentage sale enable well world report percentage sale contribute accelerate carbon neutral world transform food system enable healthy life respectively,neutral
year also mark year collaboration n,neutral
global compact world large corporate sustainability initiative,neutral
choose n,neutral
global compact one few global company achieve lead status thank commitment sustainability leadership define good practice,neutral
continue support n,neutral
global compact work climate change work science base target initiative business ambition degree,neutral
cop novozyme award terra carta seal royal highness prince wales thus recognize along international corporation make serious action orient commitment towards well future,neutral
ensure live within boundary healthy planet work together effort many far outweigh effort one,neutral
continue actively advocate change engage dialogue offer expertise work organization like un global compact world economic forum international chamber commerce b team un foundation business fight poverty many wonderful organization,neutral
solve worldo most press challenge also mean attract bright mind retain most talented people,neutral
innovation company seek catalyze change planet people achieve aim different perspective seat table voice hear,neutral
therefore set clear target drive inclusive diverse workforce employee stay safe thrive grow also opportunity pledge time community outreach,neutral
uncertainty experience whether supply chain issue rise price raw material covid something employee handle incredible spirit determination,neutral
itos thank diligence planning care look back year novozymes deliver strong result keep trust customer,positive
speak behalf whole board executive leadership team say make extremely proud thankful,neutral
set organic sale growth expectation broad range reflect continue uncertainty relate pandemic situation volatile market condition,positive
