Sentence,Sentiment
in addition we saw significant improvements in our reputational scores among both business and personal customers with customers rating our online meetings and advisory services best in class,neutral
we also saw significant improvements in our attractiveness as an employer among university and business graduates and we now rank higher than any other danish bank in this respect,neutral
this is important as it enables us to continue recruiting the most talented and motivated graduates to help us provide the best possible services to our customers,neutral
as part of our forward o strategy we made the strategic decision to focus our business in norway on business customers and large corporate and institutional customers,positive
with our personal customer business in norway now fully divested we have successfully executed on this key element of our strategy,neutral
another key component of forward o is a strategic decision to focus our time on our customerso most complex financial needs,positive
by investing in digital solutions that enable customers to handle more of their day to day finances on their own we are empowering them financially while also freeing up time for our employees to spend on more demanding and complex advisory services,neutral
this approach is proving a strong value proposition in a time of complexity and uncertainty,positive
our world is changing and our customers are faced with transitioning to this changing world and its new realities,neutral
the results and achievements of danske bank over the past year are the outcome of a collective effort throughout the organisation and we want to thank our colleagues for their continued dedication talent and drive to create value for customers shareholders and society at large,neutral
the motivation of our colleagues is a prerequisite for our success as a bank and it was therefore a key milestone in to see the continued improvement in employee satisfaction and engagement scores from already high levels,neutral
in this respect we are now above the industry benchmark,neutral
the trust our shareholders place in us is equally important and we are therefore pleased that following years of limited capital distribution we are able to reward our shareholders through our ordinary and extraordinary dividend payments and share buy back programmes,neutral
our shareholders include large professional investors and more than private individuals in denmark who have chosen to invest part of their savings in danske bank shares,neutral
creating value for our shareholders is as crucial as creating value for our customers employees and the societies we are part of,neutral
and at danske bank we firmly believe that the interests of our different stakeholders go hand in hand,neutral
this is particularly true when it comes to sustainability and the green transition,neutral
whether it is advising businesses on commercially sustainable paths towards a carbon neutral future economy or financing energy renovation for homeowners our efforts to help our customers turn challenges into viable solutions and opportunities create value for customers for us as a bank and for the societies we are part of,neutral
in a broader sense this is what we have been doing for more than years,neutral
since the foundation of danske bank in we have helped our customers adapt and transition to new times and to turn challenges into new opportunities,neutral
and it is an effort and a commitment that is reflected in our purpose as a bank oto release the potential in people and businesses by using the power of finance to create sustainable progress today and for generations to come o,neutral
the decisions our global society takes today and in the next few years determine whether we pass a habitable planet on to future generations,neutral
science recommends that we halve global carbon emissions by to have a chance of limiting the temperature rise to u c and mitigating the risk of irreversible tipping points in our global ecosystems,negative
many governments raised their carbon emission reduction targets and further reinforced their build out plans for renewable energy production capacity,positive
several large companies also set targets for their decarbonisation and acted firmly to make their business models more sustainable,neutral
targets and actions by both governments and corporations bode well for our planet but to limit the increase in temperature to u c even more decisive action is needed,positive
our target is to become a fully carbon neutral company by,neutral
in we continued the build out of our green power generation capacity both onshore and offshore,neutral
we also initiated a range of renewable hydrogen projects,neutral
renewable hydrogen will enable sectors like cement ammonia heavy road transport aviation and shipping to transition to fossil free energy,neutral
like it was for offshore wind innovation and industrialisation in renewable hydrogen are required to bring down costs making the new green fuels competitive,neutral
this year we divested our downstream retail customer and power distribution businesses which marks another big step in the renewable energy transformation,neutral
our vision is a world that runs entirely on green energy,neutral
rsted wants to partner with countries and companies helping them to leave fossil fuels behind and in we saw a breakthrough for comprehensive long term green power purchase agreements,neutral
the covid pandemic affected everybody in,neutral
we are a safety first company and during the pandemic our priority has been the health and well being of our employees their families and the communities which we are a part of,neutral
thanks to our careful and talented staff rstedos operations have remained stable and our development and construction projects have moved forward according to plan during the pandemic,neutral
all employees have adapted impressively to new routines and pushed through with projects despite sudden and unforeseen obstacles,neutral
we will continue to closely follow the situation in the markets where we operate and will continue adhering to national guidelines and regulations to help minimise the spread of the pandemic and keep our employees and partners safe,neutral
even in this time of significantly increased global uncertainty rstedos business model has demonstrated its resilience,negative
we were able to raise our financial guidance in march and maintained it throughout the year,neutral
ebitda for the year amounted to dkk billion thereby exceeding our expectations and resulting in a roce of,neutral
profit for the year amounted to dkk billion significantly impacted by the gain from divestment of our power distribution activities,positive
the board of directors recommends paying a dividend of dkk per share corresponding to dkk billion,neutral
on behalf of the board of directors i would like to thank the employees and management of rsted for an outstanding effort during a period of global uncertainty and for keeping us on track towards creating a world that runs entirely on green energy,negative
i would also like to express special thanks to former ceo henrik poulsen for his exemplary leadership in the past eight years during which rsted was transformed completely from a financially challenged regional fossil based energy company to a highly profitable global leader in renewable energy,neutral
our company is stronger than ever and even more important has developed a promising platform for continued growth,positive
with mads nipper on board as our new ceo from this january we remain as committed as ever to staying at the forefront of the global energy transformation and to offering costeffective green energy solutions and enabling governments and companies to power the world with green energy,neutral
in our operating profit ebitda amounted to dkk billion a increase compared to last year,positive
earnings from our offshore and onshore wind farms in operation increased by,neutral
this was driven by ramp up of green power generation from hornsea borssele lockett sage draw plum creek and willow creek and receipt of cfds of another mw of hornsea from april,neutral
futhermore we had higher wind speeds in,neutral
these positive effects were partly offset by lower earnings from trading related to hedging of our power exposures which generated very high earnings in and adverse covid related impacts,positive
the latter mainly manifested itself in the uk power prices due to a lower demand for electricity,neutral
this led to higher balancing tariffs bsuos from national grid and lower roc recycle prices,neutral
furthermore we saw hours with negative prices in the uk from april to july,negative
we are on track to meet our target of an average yearly increase in ebitda from offshore and onshore wind farms and solar farms in operation of from to,positive
the divestment of our danish power distribution residential customer and city light businesses resulted in proceeds of dkk billion with a gain of dkk billion which will be deployed into our global renewable energy build out plan,positive
our green share of heat and power generation continued to increase and reached a new high of,positive
return on capital employed roce was for in line with our target,neutral
since the outbreak of covid our corporate crisis management organisation ccmo has met regularly focusing on the health and safety of our employees and on ensuring business continuity,negative
during we had confirmed infected colleagues and fortunately no casualties from covid,neutral
we continue to do our utmost to keep our colleagues safe across our locations,neutral
our asset base has been fully operational and we maintained normal availability rates at our offshore and onshore wind farms and chp plants throughout,neutral
construction of our projects largely progressed according to plan both in europe asia pacific and the us,neutral
the construction project most affected by covid was the offshore wind farm hornsea due to delays in the offshore topside construction at a shipyard in singapore which was temporarily closed,neutral
however we do not expect the delay to affect the commissioning date,neutral
was a good year for our offshore business with many significant milestones and achievements although with some headwind in the us,neutral
in december we commissioned the mw dutch wind farm borssele on schedule and within budget,neutral
the wind farm deploys siemens gamesa mw wind turbines making it the largest ever built in the netherlands and will supply renewable energy to million households,neutral
during the construction of borssele we passed a significant milestone by installing rstedos offshore wind turbine number,neutral
in north america the mw coastal virginia demonstration project which we have constructed for dominion energy as an epc contractor was commissioned,neutral
the offshore wind farm is the first ever to receive federal permits and be installed in us federal waters,neutral
we are installing foundations at our mw offshore wind project hornsea in the uk,neutral
at our mw offshore wind project greater changhua a in taiwan we are preparing for installation of foundations which will commence in the first quarter of,neutral
both wind farms are expected to be commissioned in and will become the largest offshore wind farms in their respective regions,neutral
in december we signed an agreement to farm down of the mw offshore wind farm greater changhua to cdpq a canadian pension fund and cathay pe a taiwanese private equity fund,neutral
the farm down is the largest ever renewable energy m a transaction in taiwan and underpins the attractiveness of our offshore wind assets in asia pacific,neutral
we selected siemens gamesa as preferred wind turbine supplier for our mw borkum riffgrund and mw gode wind projects,neutral
subject to final investment decision both projects will deploy mw wind turbines with metre rotors,neutral
in addition we signed a year corporate power purchase agreement cppa with amazon to buy mw of the output from borkum riffgrund,neutral
this is our first offshore wind ppa with a global tech company and the largest offshore wind cppa in europe,neutral
in july we signed a cppa with taiwan based tsmc the worldos largest semiconductor foundry,neutral
tsmc will offtake the full generation from our mw offshore wind farm greater changhua b making it the largest ever renewable energy cppa,neutral
the year fixedprice contract period will start once the wind farm reaches commercial operation expectedly in or subject to grid availability and rstedos final investment decision,neutral
in december we entered into an agreement with new jerseyos public service enterprise group pseg to sell a ownership interest in our gw offshore wind development project ocean wind,neutral
the project is the first large scale offshore wind farm in new jersey,neutral
in march we entered into an agreement with tepco to establish a joint venture company for offshore wind in japan with the intention of working towards a joint bid in the first japanese auction now expectedly this year,neutral
in december we were granted consent to move into the final development phase of the offshore wind farm hornsea by the uk secretary of state for the department for business energy industrial strategy,neutral
the offshore wind farm has a potential capacity of more than gw and is adjacent to our offshore wind farms hornsea and hornsea off the east coast of the uk,neutral
with the consent granted the wind farm will be able to enter the next uk auction round for a contract for difference cfd expectedly in,neutral
our pipeline of us offshore development projects is moving forward but we are still waiting for the us bureau of ocean energy management boem to decide on the preferred wind farm layout for the buildout of offshore wind for our north eastern projects in our new england lease areas,neutral
furthermore while we are still waiting for clarity concerning the federal permitting process for our projects there are positive signs that the bottleneck will be resolved imminently,positive
we had expected to receive the onotices of intento nois from boem for our advanced stage development projects following the release and public comment process regarding the vineyard wind supplemental environmental impact study in,neutral
while that did not happen we are starting to see some promising signs of movement,neutral
the timely issuance of the draft oenvironmental impact statemento eis on january for our south fork project bodes well,neutral
so does the announcement of the oinitiation of action noticeo ian a prelude to nois issuance for the ocean wind project,neutral
all signs from the incoming joe biden administration indicate they will support a timely predictable permitting regime,neutral
revolution wind ocean wind skipjack wind and sunrise wind will likely be delayed beyond the previously expected and construction years,neutral
we have flexibility in the timeline for all four projects and we have been able to make good progress on other project milestones in the meantime,neutral
however until there is a clear timeline from boem we cannot solidify our construction schedules,neutral
with regards to south fork wind we remain comfortable with our previously communicated timeline with cod in late,neutral
despite the permitting delays we remain confident that we can deliver our us project portfolio with satisfactory value creation which is supported by the commitment to rapid clean energy deployment from the joe biden administration the us treasuryos recent announcement of a year continuity safe harbour for offshore wind in addition to a new itc level for projects starting construction in which will help expand tax credit eligibility,neutral
we continue to see solid longterm growth and value creation potential in us offshore wind,positive
in we made progress towards a greener future based on renewable hydrogen,neutral
we continuously pursue opportunities within industrial scale production of renewable hydrogen and during and early we have secured funding for three projects one in the uk one in germany and a joint consortium in the eu,neutral
we also entered into an additional three partnerships one in germany one in the netherlands and one in denmark,neutral
our most recent hydrogen partnership was agreed with british energy company bp in november and will comprise a mw electrolyser plant at bpos lingen refinery in germany,neutral
the plant is expected to be operational in and will replace approx,neutral
of the fuel based hydrogen from the refinery,neutral
the project is the first stage towards a long term ambition to build a capacity of more than mw of renewable hydrogen at lingen,neutral
this would replace the entire production of fuel based hydrogen at the refinery,neutral
furthermore we joined forces with yara the worldos leading fertiliser company to develop a pioneering project aiming at replacing fossil hydrogen with renewable hydrogen in the production of ammonia with the potential to abate more than tonnes of co per year,neutral
in we saw strong traction in our onshore business underpinned by the commissioning of three new wind farms the acquisitions of two late stage projects and the decision to construct another onshore wind farm and a solar farm,positive
during the year we successfully commissioned the three us onshore wind farms sage draw plum creek and willow creek located in texas nebraska and south dakota respectively,neutral
in july we acquired the mwac solar project muscle shoals in alabama us,neutral
the project is expected to be commissioned in q this year and will become the largest solar energy asset in the south eastern us,neutral
the project is eligible for itc and has a fully contracted year utility ppa,neutral
the project further diversifies the geographic footprint of our asset base by establishing a foothold in the rapidly growing south eastern solar market,neutral
in september we took final investment decision on constructing the onshore wind farm western trail in texas,neutral
this greenfield project has a capacity of mw and is eligible for ptc when commissioned expectedly during q this year,neutral
in october we acquired the late stage mw onshore development project haystack,neutral
the wind project is located very close to our onshore wind farm plum creek in nebraska also residing in the south west power pool spp area,neutral
with the acquisition we further expanded our footprint into this market which will play an important part in our growth in north america and diversify our portfolio,positive
in november we also took final investment decision on constructing the old solar center which is a mwac solar project also located in texas with itc eligibility,neutral
we expect old to be commissioned during q,neutral
in addition we are currently constructing the combined solar mwac and storage mwac project permian energy center in texas us,neutral
the project is progressing according to plan and we expect permian to be commissioned by mid with itc eligibility,neutral
with the completion of sage draw plum creek and willow creek and the addition of muscle shoals western trail haystack and old solar center we now have gw of combined onshore wind and solar pv in operation or under construction and we remain very satisfied with the expansion of our onshore business,positive
during we continued streamlining our markets bioenergy business,neutral
in august we completed the divestment of our danish power distribution residential customer and city light businesses to seasnve now andel,neutral
the divestment marks an important strategic milestone for rsted and the proceeds will be deployed into our global renewable energy build out plan,positive
in december we completed the divestment of our lng activities to glencore and in september we signed an agreement to divest the vast majority of our uk bb customer portfolio to total gas power,neutral
we will keep some of our strategic long term partners and customers to whom we deliver risk management products,positive
we expect the transaction to close in q,neutral
in november we signed a year route tomarket agreement with sse renewables and equinor to balance power generation from their offshore wind farm dogger bank in the uk,neutral
the contract is the largest balancing agreement won in a competitive tender process in the uk market,neutral
under the agreement rsted will be responsible for trading and balancing of the mw generated from the first two phases of the wind farm when completed in,neutral
the agreement will add further scale to our portfolio and underlines our position as a leading green energy trading company in the uk,neutral
in mid october the renescience wasterecycling plant in northwich the uk was successfully commissioned after passing the final performance test,neutral
with the commissioning of renescience northwich we reached another important milestone,neutral
we will continue to monitor the plantos performance while exploring the broader commercial potential of this recycling technology,neutral
in march the copenhagen maritime commercial court decided to close the action for damages ruling in rstedos favour,neutral
the action related to a claimed abuse of a dominant position on the market for wholesale of physical electricity in western denmark from to,neutral
however the action will continue in as the claimants have decided to appeal the case to the danish western high court,neutral
in seven bearers of the rsted name filed a subpoena to prevent our use of the name,neutral
in may the copenhagen maritime commercial court ruled in favour of rsted,neutral
following the ruling the plaintiffs decided to appeal the case,neutral
in november the danish supreme court also ruled in favour of rsted and the case is now closed,neutral
we are very pleased that the ruling of the supreme court upholds our right to use the rsted name,neutral
it was chosen as a tribute to hans christian rsted one of the greatest danish scientists of all time,neutral
he discovered electromagnetism years ago and thus laid the foundation for how we produce electricity,neutral
in december we received an administrative decision from the danish tax agency requiring danish taxation of our british offshore wind farms walney extension and hornsea,neutral
the claim amounted to dkk billion plus interest in addition to the taxes we have already paid in denmark,neutral
according to the decision rsted is to be taxed in denmark on the full future value of the two offshore wind farms despite the fact that they are developed owned and operated by british subsidiaries of the rsted group and are taxed in the uk,neutral
we disagree with the decision which in our view is based on a misconception of the risks and value creation in our business model for developing constructing and operating offshore wind farms and have appealed it to the danish tax appeals agency,neutral
furthermore we have taken steps to ensure that the danish and uk tax authorities initiate negotiations to avoid rsted being subjected to double taxation if necessary by referring the case to an independent arbitration panel,neutral
our talented people remain the most important assets in rsted and on behalf of the executive committee i would like to take this opportunity to acknowledge and thank all our employees for the great job they have been doing throughout the year including how they have all adapted to the new challenges in the wake of the covid pandemic,neutral
it is very important for us to attract develop and retain the best talent and we strongly believe in the value of a diverse workforce,neutral
we aspire to create an environment where everyone whatever their personal background can thrive perform and grow,neutral
therefore we were also pleased to see that the employee satisfaction survey people matter showed a record high satisfaction and motivation score of out of placing rsted in the top of our external benchmark,positive
on january we announced a change to our organisational structure which will take effect from february,neutral
the change entails moving from a business unit structure to a more functional structure where the commercially focused functions from the current business units offshore and markets bioenergy will be brought together under the leadership of martin neubert who will become cco deputy ceo and member of the executive board,neutral
the operationally focused functions will be brought together under a new coo as anders lindberg has decided to take on a new position outside rsted,neutral
the coo will report to mads nipper,neutral
as a consequence of the new corporate structure morten h buchgreitz has decided to leave the company,neutral
both anders and morten have done a tremendous job during their tenure in rsted and we owe them great gratitude,neutral
onshore will remain a separate business unit,neutral
the onshore business differs from the rest of rsted when it comes to technological maturity and business model and we believe that onshore will be best positioned to realise its full potential as a separate business unit,neutral
we are making these changes in our organisation to establish an even stronger customer and market focus to further strengthen the focus on epc and operations and to support the scaling of our organisation as we continue our strong growth trajectory in the years to come,positive
externally we will continue to report offshore and onshore financials as we do today,neutral
this means that offshore will continue to include our hydrogen activities,neutral
bioenergy our legacy gas activities and renescience will be reported in a separate segment called bioenergy other,neutral
we are very satisfied with our strategic progress and results in and i am grateful for the support and professionalism of our customers and partners,positive
i am keenly aware that only together we can do great things and live up to our high ambitions,neutral
we maintain a leading position in a global high growth market and have built a strong and financially sustainable pipeline laying the path for future growth,positive
i am proud of and humbled by the board of directorso trust in me to succeed henrik poulsen as ceo of rsted,neutral
creating a world that runs entirely on green energy is a vision close to my heart,neutral
i also want to thank the executive committee and all rsted employees for a warm welcome,neutral
i am deeply impressed and inspired by the passion and motivation i have encountered throughout the entire company and it makes me excited for what we can achieve,neutral
i am confident that rsted can stay a globally leading renewable energy producer both offshore and onshore,neutral
