Sentence,Sentiment
in november the finnish government decreased its ownership in the company further to percent from percent,neutral
of bavelloni s and nst s joint ventures bavelloni tools completes semiproducts that are produced in italy into high quality tools that will be sold under the diapol brand,neutral
the tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind,neutral
googl is a short below into the upper bb and is overbought,negative
lights out before curfew curl up with the latest bestseller and treat your eyes to the perfect reading light from luceplan,neutral
the total value of the contract is some eur million,neutral
the prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire aspo shares to the amount determined by the board in advance in the maximum,neutral
mr doring has been with eaton since and acted as the business unit manager for eaton s power controls business unit since january,neutral
the sq m sq ft store in copenhagen s premier shopping district was inaugurated today further strengthening the company s presence in nordic capitals,positive
in the financial statement for the first quarter of tikkurila is reported under discontinued operations,neutral
the world s second largest stainless steel maker said net profit in the three month period until december surged to euro million us million or euro us per share from euro million or euro per share the previous year,positive
name of applicant jot automation oyname of inventor mammila tuomo piirainen mika and kellokoski mikaapplication no kolnp adate of filing of application publication date,neutral
netflix grows efforts to create loyal customers nflx https t co qxbkobphe,positive
aapl nibbling on a small long via buying off min charts,positive
tyc just about to break out to new highs lots of technicals looking great right now,positive
eero katajavuori currently group vice president human resources will take a year long sabbatical starting from october,neutral
what is up with lulu numbers looked good not great but good i think conference call will instill confidence,neutral
the adjustment measures will be carried out in phases to secure the delivery capability,neutral
alma media corporation press release march tyrvaan sanomat and paikallissanomat being bought by suomen paikallissanomat two local papers tyrvaan sanomat and paikallissanomat appearing in sastamala and its neighbouring municipalities are to be bought by suomen paikallissanomat oy,neutral
a meeting for the media and analysts will be held on the same day at a m at stonesoft headquarters in helsinki italahdenkatu a the interim report will be presented by stonesoft s ceo ilkka hiidenheimo,neutral
finnish sampo rosenlew manufactures approximately seven forest machines monthly and about half of machines are exported,neutral
facebook near a buy point last week faces a different technical test today https t co cllmpinm fb aapl nflx https t co fpfbytypuy,positive
february finnish broadband data communication systems provider teleste oyj hel tltv said wednesday its net profit rocketed to eur m in from eur in and it lifted its dividend proposal,positive
free ha heeeeeere comes the pump so glad i picked up k end of day get ready for the bull ride,positive
finnish technology group aspocomp group oyj omx helsinki acgv issued its third quarter report on thursday november posting an operating profit of eur m as compared to a loss of eur m in the third quarter of,positive
the building complex consists of high quality office and retail space totalling square metres the company said,neutral
the unit is planned to be operational during the second half of and in full stream in,neutral
itg s share in the deal is estimated at some euro,neutral
the plant is expected to enter commercial operation by mid,neutral
aspo has also investigated the sales opportunities of kaukomarkkinat s electronics business,neutral
bg group appoints new ceo one month early,neutral
the acquisition will have an immediate positive impact on aspocomp s financial result,positive
rt bman lng looks primed also eght poised to run too,positive
it is also pct above the month volume weighted average price of the stock,positive
coke dividend google dividend for passive income coke takes it goog ko https t co qbsowjxost,neutral
profit before taxes was eur mn up from eur mn a year earlier,positive
the subsidiary is setting up a facility for manufacturing high density interconnection printed circuit boards or pcbs at nokia s special economic zone at sriperumbudur near chennai,neutral
crm sep calls are since entry bang http stks co dedm,positive
rapala said it estimates it will make savings of mln eur a year by centralising its french operations at one site,positive
vmw got a nice push today following small sweepers of may c this morning,positive
that topped consensus forecasts for earnings of euros a share,positive
r d loan,neutral
in future the company intends to look for know how from outside the company and to cooperate with other actors in the sector,positive
you need to be ready when the window opens up rosberg said,neutral
more than tonnes of asphalt mix will be used in the contract,neutral
pa jpmorgan chase and co nyse jpm and pohjoa bank are joint lead managers on the senior unsecured deal,neutral
ctrp breaking out here on good vol and a parser buy signal noticed this on bob langs comments looking for fast,positive
nordea was the cheapest also for a couple in their s with debt,neutral
jussi pesonen member of the sampo board since will renounce his seat in sampo board,neutral
tesla is recalling model x cars https t co zbkvstl tsla,negative
adjusted for changes in the group structure the division s net sales increased by,positive
the amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the company,positive
the solution will now be expanded to include all ground staff tasks,neutral
on fedday looking for a sharp move up in equities aapl hd low fb seeing uvxy tvix getting hammered even though market is down,positive
net sales totaled eur mn up from eur mn in the corresponding period in,positive
as a consequence the works council had withdrawn its petition to suspend the reorganisation,neutral
ceo erkki j nrvinen is happy with the company s performance in,positive
comparable net sales are expected to increase more than in in line with group target,positive
following the transaction lundbeck has worldwide rights for nalmefene excluding north america mexico turkey and south korea,positive
the government started the sell off last month putting an percent stake in teliasonera on the auction bloc,neutral
the report goes on to provide detailed profiles of ten leading european specialty chemicals companies and brief profiles of other major players,neutral
both operating profit and net sales for the three month period increased respectively from eur m and eurm as compared to the corresponding quarter in,positive
the company expects its net sales for the whole to be at previous year levels,neutral
the company is headquartered in sievi finland and is listed on the nordic exchange in helsinki,neutral
commission income increased by to eur mn and lending volume rose by,positive
the finnish company sold its uk operation consisting of staff in offices in london birmingham and manchester as part of a deal with hampden in july for its european wide property and casualty arm sampo industrial,neutral
the innova building will be located close to downtown in the immediate vicinity of paviljonki and the travel center and within walking distance from the heart of the city thanks to the trade fair bridge,neutral
the main strength of the cooperation project lies in merging the know how of two large companies,positive
shareholders have a right to put on the agenda of the agm items that are within the competence of the general meeting,neutral
kazgiprotsvetmet and outotec finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in kazakhstan and the surrounding countries,positive
the government has instead proposed an exchange of the state s stake in lmt to teliasonera s stake in lattelecom,neutral
stora is due to release its fourth quarter and full year earnings on february,neutral
nq got hit hard lower this am looks like it has found support a http stks co sz,negative
in avc systemhaus had net sales of eur million usd m,neutral
the company has established a g base station at about feet at the foot of mount everest that will enable mountain climbers at the foot summit to surf the internet and even send videos of their exploits,positive
we offer our customers solutions based on renewable raw materials,neutral
the pretax profit of the group s life insurance business increased to eurm from eurm,positive
we make available the following brand new market analyses cement pakistan cement malaysia cement taiwan cement philippines these analyses give a clear overview of the actual situation and future outlook of the cement industry in some asian countries,neutral
the company serves approximately customers in over countries,neutral
rt alphatrends vmarkets are still acting weak http stks co agn spy qqq xlf smh iwm,negative
one of the installed elevators will be a double deck elevator which enables more efficient use of the building s core space,positive
helsinki afx outokumpu said it has agreed to sell the hitura nickel mine in finland to canadian group belvedere resources ltd for mln eur worth of belvedere shares,neutral
just went long ilmn,positive
social networking and location based service trends comprise a significant share of the internet traffic today and are appealing to mid users,neutral
a total of the order value was booked in the fourth quarter of and the remainder will be booked in the second quarter of,neutral
johnson matthey share price slumps as company posts full year results,negative
there have not been previous share subscriptions with stock options,neutral
affectogenimap builds highly customised it solutions for its customers in finland and the baltic countries,neutral
the closing of the transaction is scheduled to take place on january,neutral
however the offering will probably not be made at the current valuation which partly derives from the deal in which the company was merged into a stock market she will,neutral
net sales in are expected to be on the same level as in,neutral
technical indicators for the stock are bullish and s p gives nok a positive stars out of buy ranking,positive
n viro operates processing facilities independently as well as in partnership with municipalities,neutral
according to ringman finnish paper companies have acquired know how and capacity in paper recycling which has turned out to be a successful strategy,positive
the company also said that in poland a profitability program has been launched at the oborniki steel frame and sandwich panel plant,positive
tesco sales rise shows tentative recovery continues,positive
in finland the launch of tie in sales of g mobile phones did not because a dramatic rush in mobile retail outlets during the first few days,neutral
nuan held up well after the big gains maybe we are finally on the move on this its still very undervalued and has major upside,positive
the company can be split into two parts over the coming months with essent owning and operating production and supply and enexis owning and operating the grid,neutral
officials did not disclose the contract value,neutral
london s leading shares today jumped almost points or as the market opened,positive
the combined company had pro forma net sales of mln euro mln and an operating profit of mln euro mln for,neutral
managing director kari inkinen says that sponda s leasing operations developed highly favourably,positive
tsla steaming up again this stock is relentless at the moment,positive
marathon estimates the value of its remaining stake in protalix at million,neutral
whitbread share price climbs on q sales growth,positive
incap contract manufacturing is a subsidiary of incap corporation of finland,neutral
operating profit totaled eur mn up slightly from eur mn in the corresponding period in,positive
we went to the market with yield guidance of the area which gave us the flexibility to go up or down by th,neutral
rt stockdemons think shorting here into close might be play spy high beta reversing looks worth a shot,negative
vdw combined with lxe devices enhances productivity enabling workers to use a single device to perform voice scanning and keyboard functions,positive
thus the method will cut working costs and will fasten the planning and building processes,positive
copyright afx news and afx financial news logo are registered trademarks of afx news limited,neutral
lnkd daily phase retest price experiencing early rejection can it retest http stks co txx,negative
rbs will reportedly appoint howard davies as its next chairman,neutral
tesco asda sales fall as march of the discounters continues kantar,negative
with this new version it is very important for us to introduce a bim process that is based on the detailed building information model,neutral
sampo plc jarmo salonen head of investor relations and group communications tel distribution nasdaq omx helsinki the principal media financial supervisory authority www sampo com this announcement is distributed by thomson reuters on behalf of thomson reuters clients,neutral
barronsonline sees apple at share in a year from today on growing services business aapl https t co bdneknl,positive
pharmaceutical market in poland global research data services published recently a market analysis about the pharmaceutical markets in poland,neutral
the employer together with health personnel supports quitting and pays part of the cost of nicotine treatments,neutral
the order includes ship cranes that will be delivered for container feeders to be built at wenchong shipyard in china,neutral
goog testing the day after some consolidation http stks co hcpj,positive
he joins technopolis from kone where he has held various positions within the group most recently as director of service business and business development for kone s middle eastern operations,neutral
we succeeded in increasing our market share of sold apartment comments mr kari kauniskangas head of yit international construction services,positive
profitability ebit was compared to in the previous year period,positive
the plant is scheduled for completion in late february with hand over of some areas in january two other suppliers of nokia aspocomp group oyj and perlos have announced their plans to establish plants within the nokia complex together they will invest rs crore,neutral
upm kymmene upgraded to in line from underperform by goldman sachs,positive
slump in weir leads ftse down from record high,negative
royal mail breached competition law over delivery service changes ofcom claims,negative
the cooperation will involve arena partners buying a share of the new joint venture company operating in alma media s home sales vehicle and consumer advertising marketplace businesses,neutral
the efore plant at saarijarvi in central finland is one of the largest employers in the region,neutral
however short term rentals are becoming more popular,neutral
tesco closes in on new chairman with dixons carphone s john allan in the frame,positive
the device offers multimedia performance along with a host of productivity applications including live stock prices,neutral
sales climbed pct to bln eur surpassing the mln eur consensus figure,positive
fb turns back down in early trading https t co reufpzhbm,negative
utah s capital wanted to be the next you s headquarters of amer sports corp a ski equipment company,neutral
old mutual first quarter sales up buoyed by emerging markets,positive
the dividend is payable on february to shareholders of record on january,neutral
furthermore bunge will also sign a licensing agreement for the sunnuntai and carlshamn mejeri brands,positive
kesko corporation stock exchange release at kesko corporation and aspo plc today signed an agreement by which aspo acquires the share capital of kauko telko ltd a subsidiary wholly owned by kesko,positive
lulu outlook q lost revenue in the range of million to million not good,negative
mobile communication and wireless broadband provider nokia inc nyse nok today set new financial targets and forecasts for nokia and the mobile device industry and also for nokia siemens networks and the mobile and fixed infrastructure and related services market,neutral
poyry plc additional information by heikki malinen president and ceo poyry plc tel poyry is a global expert in consulting and engineering,neutral
amanda capital has investments in private equity funds and in over unquoted companies mainly in europe,neutral
net interest income was eur mn up from eur mn,positive
jeder beta tester erh nlt kostenlos sechs monate lang updates und hat laut eigener aussage die m aglichkeit die finale version zu beeinflussen,neutral
aviva promises higher dividends to boost flagging share price,positive
in addition mids are always online and enable full internet browsing,neutral
fiskars has a strong portfolio of international brands which include fiskars iittala gerber silva and buster,positive
tesla model x recall adds to reliability issues tsla https t co jvxqdoxnp,negative
the name of the buyer was not disclosed,neutral
net sales of the vegetable oil business rose to eur mn from eur mn,positive
under the agreement benefon s forthcoming range of twig integrated gps navigation and mobile phone devices will use the jointly developed web based tracking and location technology in both consumer and commercial applications,neutral
following this increase huhtamaki s registered share capital is eur m and the number of shares outstanding is,neutral
the three year turn around program is expected to ensure salomon s future competitiveness the company said,positive
in the autumn it plans to expand service to st petersburg and moscow and launch service to yekaterinburg russia flying there three times a week,positive
the federal secretary for transport and communication of mexico has awarded poyry and its mexican partner sintra a consulting contract in connection with the buenavista cuautitlan suburban railway,positive
fda approves astrazeneca drug for advanced lung cancer,positive
the order is included in metso s fourth quarter order backlog,neutral
lieksaare oy has earlier been regarded under the control of saarelainen oy and the individual shareholders under the shareholder agreement,neutral
ragutis which is controlled by the finnish brewery reported a per cent rise in beer sales to million litres and held an per cent market share,positive
mcp rolling over for a new intraday low bottom pickers continue to get destroyed,negative
the company has an annual turnover of eur m,neutral
it has branches in finland with annual revenue in finland of,neutral
the portfolio comprises of m of leasable space with a vacancy rate of roughly let to around tenants of which two of the largest are the swedish government and ericsson,neutral
wpp boosts sales despite cautious clients,positive
the medium term operative targets of the company remain unchanged,neutral
consumers have very well received our packed fresh meat,positive
the corrected chapter is in its entirety below,neutral
the major part of the deliveries include different ac and cxe amplifier solutions and products by dinh telecom a company acquired by teleste last spring,neutral
tietoenator itself uses nokia s intellisync mobile suite s wireless email calendar and device management capabilities and the company will now extend these services to its customers,positive
it will provide heating in the form of hot water for the sawmill s needs,neutral
in the second quarter of raute s net loss narrowed to eur from eur million in the same period of,positive
dgi technical alerts gilligan s island buy setup stochastic buy signal lizard bullish hammer candlestick wid http stks co cnu,positive
the record date for dividend distribution is march,neutral
i h in a move to enhance growth,positive
the ebrd is using its own funds to provide a million a loan while the b portion of million euros has been syndicated to two finnish commercial banks nordea bank finland plc million euros and pohjola bank plc million euros,neutral
stockholm march about cybercom the cybercom group is a high tech consultancy that offers global sourcing for end to end solutions,neutral
milan afx the italian shipping group grimaldi has increased its stake in the finnish company finnlines to pct from the pct held in june according to news agency ansa,neutral
commenting on the deal shane lennon svp of marketing product development at gypsii said,neutral
the group intends to relocate warehouse and office space in loudeac and saint marcel to morvillars in the east of the country where it already operates a hook manufacturing and distribution unit,neutral
the firm is headquartered in vantaa southern finland and has employees,neutral
we are honored to be recognized by gartner as a specialist in business process modeling and analysis in the company of many of the largest software vendors in the world,positive
westpac banking corp is to issue a benchmark year frn deal in euros,neutral
includes company and brand share data by category as well as distribution channel data,neutral
for the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the trade register,neutral
aapl price momentum weakening going into the close,negative
through the acquisition solteq will expand its solutions offering by microsoft s dynamics business software products,positive
the company s profit totaled ls,neutral
leed is an internationally recognized green building certification system developed by the you s green building council,neutral
talktalk hires bae systems to investigate cyber attack,negative
looks like its booking a one way ticket to its week ma near losing week here lulu http chart ly xbhb,neutral
ftse led lower by m s glaxosmithkline,negative
the exercise price of the option will be based on safran software solutions license and maintenance sales as well as the result of the company,neutral
the company said production volumes so far indicate the circuit is capable of the targeted output rate of tonnes per day or million tonnes a year,neutral
june boy genius report delivered by newstex the nokia nyse nok n huh,neutral
we have come out with a decision which is based on our preliminary economic operational and environmental findings karvinen said,neutral
the new majority owners of aspocomp thailand co ltd are certain private persons belonging to immediate circle of aspocomp s present joint venture partner saha pathana inter holding plc,neutral
some mln euro mln of the base acquisition price will be paid in cash and the rest through a subscription offering of a total of new ixonos shares,neutral
established in the srv group is a private finnish construction concern with operations in finland the baltic countries and russia,neutral
the business section also includes ahlstrom s sustainability report,neutral
lemiste city is the environment for a knowledge based economy providing work for people with the total turnover of its companies amounting to eek bn said lo p nrnits chairman of the supervisory board of lemiste city and mainor,neutral
jacobs has been supporting storengy s investment of developing storage sites since as owner s engineer,neutral
the company had earlier said that it was considering different strategic options for the struggling low cost mobile operator including a divestment of its holding,neutral
sainsbury s asda tesco and morrisons will all cut petrol prices as oil falls,negative
barclays sells benchmark indices unit to bloomberg,positive
finnish forestry company upm kymmene and waste management company lassila tikanoja said on january they were planning to produce ethanol and energy from commercial and industrial waste,neutral
isms does not disclose its financial results the daily said,neutral
the contract covers the manufacturing surface treatment and installation of the steel structures,neutral
finnish metal industry solutions supplier outotec oyj net profit rose to mln euro mln for the first nine months of from mln euro mln for the same period of,positive
under the deal know it will pay sekm usd m eur m in cash and stock,neutral
for the first nine months of the company s net profit rose to eurm from eurm for the corresponding period of,positive
aapl dma turned up macd crossover a half a hair away on the weekly eod break out likely,positive
protalix has million in cash and no sales,neutral
that bearish outside day tuesday is significant day resistance still intact just my opinion sds http chart ly beyt,negative
all rights reserved,neutral
it will be operated by nokia and supported by its nokia netact network and service management system,neutral
mr priit kasak balti metsamasina s owner said the rakvere based company wishes to increase valmet s market share from to a third in a couple of years,positive
shire sees baxalta deal closing as expected after new rules,positive
sainsbury cfo rogers to replace home retail ceo walden,neutral
marathon now has a percent stake in plx it said according to bloomberg,neutral
simmons elected dcuc chairman portsmouth n h gordon a simmons ceo of service credit union has been elected chairman of the defense credit union council for the term,neutral
pharmaceutical market in czech republic global research data services published recently a market analysis about the pharmaceutical markets in czech republic,neutral
synergy pharma soars today on positive phase results sgyp http stks co jawg,positive
operating profit rose to eur mn from eur mn in the corresponding period in,positive
vrtx vertex monthly lower hi lower lo long term uptrend intract so far,positive
financial details were not disclosed,neutral
these include software development for internet and mobile telephone content communications value added software financial services security applications systems integration and electronics ebrd informed,neutral
should you follow berkshire hathaway into apple stock,neutral
the total amount of subscription prices was recorded in the fund for invested non restricted equity,neutral
tsla th wave down on the hour chart hammer candle developing close to sma might be a good spot for calls,positive
strongest growth was seen in the new markets in russia the czech republic and slovakia,positive
the tower s engineers have created an degree westward lean four times the inclination on the leaning tower of pisa using diagrid structures that are aligned geometrically using tekla structures bim building information modeling software,neutral
amer which bought salomon from adidas in october said the job cuts are aimed at boosting competitiveness,neutral
with the measures suominen corporation aims to ensure the competitiveness of the flexible packaging business in the long term,positive
ifhedieshedies bullhorn znga shorts are getting nervous,positive
the financial statements release will be available after publishing on the company s internet pages at www cargotec com,neutral
the world of glass is coming to egypt and we invite visitors from all around the world to attend glass world exhibition register now at www glassworldex com,neutral
most of the raw materials come from europe and the us and are paid in euros or us dollars while sales take place in rubles,neutral
a maximum of new shares can further be subscribed for by exercising b options under the stock option plan,neutral
it inspects the companys strategic strengths and weaknesses,neutral
no planned closing date was provided,neutral
the lemminkainen group headquartered in helsinki finland operates in all sectors of the construction industry civil engineering building contracting technical building services and the building materials industry,neutral
the implementation of the deal is subject to the approval by the finnish competition authority,neutral
microsoft also churned up its courtship agreeing to use the navteq mapping service which is offered by a company nokia bought for billion a few years ago,positive
the geosolutions team further provides an intriguing new technology combining gps and mobile based technologies together with internet based social networking,neutral
the c expo is a signature show in dongguan which is supported by the dongguan municipal government every year featuring computer accessories software communication and network products,neutral
pharmaceuticals poland this brand new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in poland,neutral
trading in the new shares which have right to dividends and other distributions of funds will start on the exchange in helsinki tomorrow,neutral
the dual fuel engines of the vessel can operate on liquefied natural gas lng with low emissions,neutral
among other finnish shares traded in the us stora enso closed pct lower at eur upm kymmene was up pct at eur and metso was down pct at eur,neutral
in addition to the presentations held by president ceo kai telanne and cfo tuomas itkonen participants will have an opportunity to discuss with other members of the company s management,neutral
the change in holdings in accordance with chapter section of the finnish securities markets act is described below,neutral
with capman as a partner we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers says christopher wynne ceo of papa john s russia,positive
the cranes would be installed onboard two freighters ordered by singaporean ship owner masterbulk,neutral
the business to be divested generates consolidated net sales of eur million annually and currently has some employees,neutral
the company which has eur bn in assets counts among its five largest shareholders finnish insurers ilmarinen and varma as well as the finnish state pension fund ver,neutral
chessnwine iwm minute chart small caps threatening descending triangle breakdown under http stks co rkkm,negative
corporate it update c m communications ltd finnish technology group teleste corporation omx helsinki tltv reported on wednesday february an operating profit of eur m on net sales of eur m for the year,neutral
stockholm based nordea bank sto nda said yesterday it had hired casper von koskull to lead its corporate merchant banking and capital markets unit effective september,neutral
finnish fibers and plastic products maker suominen corporation said its net loss narrowed to mln euro mln in the first nine months of from mln euro mln in the same period of,positive
companiesfresnillo shares jump as silver price breaks,positive
bluewin security is available as a monthly subscription,neutral
operating profit was eur mn up from eur mn,positive
finnish raisio diagnostics is launching new dna based quick tests to ensure the safety of food,positive
the non recurring costs caused to talentum s premedia business area by the restructuring will amount to mln euro mln and will be included in the company s financial results for the second quarter of,neutral
finnish software developer basware oyj said on november its you s subsidiary basware inc won an order to provide software for contract lifecycle management to an unnamed you s medical technology company,positive
the chain is to unite centres by the end of,neutral
the important thing now is to keep the bank s existing customers,neutral
the prices of stainless steel also rose in europe,neutral
in sweden gallerix accumulated sek denominated sales were down and eur denominated sales were up,neutral
isrg isrg short http stks co fvvu http stks co cqrm,negative
dara breaking out,positive
a total of new citycon shares with a nominal value of eur per share were subscribed on april exercising the a b c options based on the company s stock option plan,neutral
aapl i am sure those short are holding their breath hoping for a miracle lol,positive
management decided at the end of to increase cathode copper capacity,neutral
image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display,neutral
shire says internal synergy goals from baxalta deal higher,positive
one of the largest projects of the magazine division of sanomawsoy sanoma magazines international in became launch of the russian magazine gloriya,neutral
the sellers were the founders of the company,neutral
foodservice and consumer goods markets are served by approximately people in manufacturing units and several sales offices in countries,neutral
the acquisition does not have to be from the frozen foods or fish sector as long as it has synergies with l nnnen tehtaat s other businesses,neutral
gnrc finding support at its day line so far,positive
under the transaction agreement metsaliitto will purchase of metsa botnia s shares from upm and from m real,neutral
britain s ftse falls back with ashtead commodities under pressure,negative
bbry bye bye sammy hello bb sounds like we will see some green tomorrow,positive
rockwell collins is a provider of flight deck cabin and information management solutions for business aircraft operators,neutral
the floor area of the yliopistonrinne project will be sq m and the building s gross area will total sq m a total of the facilities have been let,neutral
nflx vision short term consolidation then movement higher http stks co juu,positive
theodosopoulos said tellabs could be of value to nokia siemens or nortel given its leading supply status with verizon along with high growth products,positive
in his current position manty has worked since,neutral
with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability,positive
